t_ms,PWM,Presion_kPa,
10,0,0.088,
20,0,0.063,
30,0,0.063,
40,0,0.063,
50,0,0.063,
60,0,0.063,
70,0,0.075,
80,0,0.069,
90,0,0.063,
100,0,0.056,
110,0,0.063,
120,0,0.056,
130,0,0.056,
140,0,0.063,
150,0,0.063,
160,0,0.063,
170,0,0.063,
180,0,0.063,
190,0,0.063,
200,0,0.056,
210,0,0.069,
220,0,0.056,
230,0,0.063,
240,0,0.063,
250,0,0.069,
260,0,0.069,
270,0,0.063,
280,0,0.069,
290,0,0.063,
300,0,0.063,
310,0,0.069,
320,0,0.069,
330,0,0.063,
340,0,0.063,
350,0,0.069,
360,0,0.063,
370,0,0.063,
380,0,0.056,
390,0,0.069,
400,0,0.063,
410,0,0.063,
420,0,0.063,
430,0,0.056,
440,0,0.063,
450,0,0.069,
460,0,0.063,
470,0,0.069,
480,0,0.063,
490,0,0.063,
500,0,0.056,
510,0,0.063,
520,0,0.063,
530,0,0.081,
540,0,0.088,
550,0,0.069,
560,0,0.075,
570,0,0.088,
580,0,0.088,
590,0,0.088,
600,0,0.088,
610,0,0.088,
620,0,0.088,
630,0,0.094,
640,0,0.088,
650,0,0.094,
660,0,0.088,
670,0,0.088,
680,0,0.088,
690,0,0.088,
700,0,0.094,
710,0,0.094,
720,0,0.088,
730,0,0.088,
740,0,0.088,
750,0,0.088,
760,0,0.094,
770,0,0.081,
780,0,0.094,
790,0,0.094,
800,0,0.088,
810,0,0.094,
820,0,0.081,
830,0,0.094,
840,0,0.088,
850,0,0.088,
860,0,0.088,
870,0,0.081,
880,0,0.081,
890,0,0.094,
900,0,0.088,
910,0,0.088,
920,0,0.088,
930,0,0.081,
940,0,0.088,
950,0,0.094,
960,0,0.088,
970,0,0.081,
980,0,0.075,
990,0,0.094,
1000,0,0.088,
1010,0,0.088,
1020,0,0.094,
1030,0,0.088,
1040,0,0.088,
1050,0,0.088,
1060,0,0.081,
1070,0,0.075,
1080,0,0.081,
1090,0,0.081,
1100,0,0.088,
1110,0,0.088,
1120,0,0.088,
1130,0,0.081,
1140,0,0.081,
