t_ms,PWM,Presion_kPa
10,0,0.838
20,0,0.894
30,0,0.819
40,0,0.819
50,0,0.819
60,0,0.838
70,0,0.825
80,0,0.819
90,0,0.825
100,0,0.838
110,0,0.825
120,0,0.825
130,0,0.819
140,0,0.825
150,0,0.825
160,0,0.838
170,0,0.819
180,0,0.838
190,0,0.819
200,0,0.838
210,0,0.825
220,0,0.825
230,0,0.825
240,0,0.844
250,0,0.825
260,0,0.85
270,0,0.85
280,0,0.831
290,0,0.831
300,0,0.844
310,0,0.85
320,0,0.838
330,0,0.838
340,0,0.844
350,0,0.844
360,0,0.85
370,0,0.844
380,0,0.838
390,0,0.844
400,0,0.838
410,0,0.856
420,0,0.844
430,0,0.838
440,0,0.844
450,0,0.85
460,0,0.85
470,0,0.844
480,0,0.844
490,0,0.844
500,0,0.85
510,0,0.85
520,0,0.844
530,0,0.85
540,0,0.844
550,0,0.844
560,0,0.85
570,0,0.844
580,0,0.838
590,0,0.844
600,0,0.863
610,0,0.844
620,0,0.844
630,0,0.844
640,0,0.85
650,0,0.844
660,0,0.838
670,0,0.844
680,0,0.844
690,0,0.844
700,0,0.85
710,0,0.838
720,0,0.838
730,0,0.838
740,0,0.844
750,0,0.85
760,0,0.844
770,0,0.844
780,0,0.838
790,0,0.844
800,0,0.844
810,0,0.838
820,0,0.838
830,0,0.838
840,0,0.844
850,0,0.844
860,0,0.844
870,0,0.844
880,0,0.844
890,0,0.838
900,0,0.844
910,0,0.844
920,0,0.844
930,0,0.844
940,0,0.856
950,0,0.838
960,0,0.85
970,0,0.838
980,0,0.844
990,0,0.844
1000,0,0.844
1010,0,0.856
1020,0,0.85
1030,0,0.844
1040,0,0.85
1050,0,0.844
1060,0,0.856
1070,0,0.85
1080,0,0.856
1090,0,0.85
1100,0,0.85
1110,0,0.85
1120,0,0.844
1130,0,0.85
1140,0,0.85
1150,0,0.844
1160,0,0.85
1170,0,0.838
1180,0,0.838
1190,0,0.85
1200,0,0.844
1210,0,0.85
1220,0,0.844
1230,0,0.838
1240,0,0.856
1250,0,0.844
1260,0,0.85
1270,0,0.838
1280,0,0.863
1290,0,0.85
1300,0,0.844
1310,0,0.838
1320,0,0.85
1330,0,0.844
1340,0,0.85
1350,0,0.844
1360,0,0.844
1370,0,0.856
1380,0,0.85
1390,0,0.85
1400,0,0.85
1410,0,0.838
1420,0,0.856
1430,0,0.844
1440,0,0.85
1450,0,0.844
1460,0,0.856
1470,0,0.863
1480,0,0.85
1490,0,0.844
1500,0,0.856
1510,0,0.85
1520,0,0.856
1530,0,0.844
1540,0,0.844
1550,0,0.856
1560,0,0.85
1570,0,0.844
1580,0,0.856
1590,0,0.85
1600,0,0.85
1610,0,0.85
1620,0,0.844
1630,0,0.85
1640,0,0.838
1650,0,0.85
1660,0,0.838
1670,0,0.844
1680,0,0.85
1690,0,0.838
1700,0,0.85
1710,0,0.856
1720,0,0.844
1730,0,0.85
1740,0,0.85
1750,0,0.85
1760,0,0.85
1770,0,0.844
1780,0,0.85
1790,0,0.844
1800,0,0.844
1810,0,0.85
1820,0,0.844
1830,0,0.838
1840,0,0.844
1850,0,0.85
1860,0,0.844
1870,0,0.838
1880,0,0.844
1890,0,0.838
1900,0,0.838
1910,0,0.85
1920,0,0.844
1930,0,0.85
1940,0,0.85
1950,0,0.863
1960,0,0.844
1970,0,0.844
1980,0,0.844
1990,0,0.85
2000,0,0.838
2010,0,0.844
2020,0,0.85
2030,0,0.85
2040,0,0.844
2050,0,0.85
2060,0,0.844
2070,0,0.844
2080,0,0.844
2090,0,0.85
2100,0,0.85
2110,0,0.844
2120,0,0.844
2130,0,0.838
2140,0,0.844
2150,0,0.856
2160,0,0.844
2170,0,0.844
2180,0,0.844
2190,0,0.844
2200,0,0.85
2210,0,0.844
2220,0,0.85
2230,0,0.844
2240,0,0.85
2250,0,0.85
2260,0,0.844
2270,0,0.844
2280,0,0.85
2290,0,0.856
2300,0,0.844
2310,0,0.85
2320,0,0.844
2330,0,0.85
2340,0,0.844
2350,0,0.838
2360,0,0.844
2370,0,0.85
2380,0,0.844
2390,0,0.844
2400,0,0.844
2410,0,0.85
2420,0,0.844
2430,0,0.844
2440,0,0.844
2450,0,0.844
2460,0,0.85
2470,0,0.844
2480,0,0.863
2490,0,0.863
2500,0,0.856
2510,0,0.856
2520,0,0.856
2530,0,0.863
2540,0,0.863
2550,0,0.844
2560,0,0.85
2570,0,0.844
2580,0,0.863
2590,0,0.856
2600,0,0.856
2610,0,0.85
2620,0,0.844
2630,0,0.869
2640,0,0.863
2650,0,0.856
2660,0,0.85
2670,0,0.856
2680,0,0.85
2690,0,0.844
2700,0,0.856
2710,0,0.856
2720,0,0.856
2730,0,0.856
2740,0,0.863
2750,0,0.856
2760,0,0.844
2770,0,0.856
2780,0,0.85
2790,0,0.85
2800,0,0.85
2810,0,0.85
2820,0,0.85
2830,0,0.85
2840,0,0.856
2850,0,0.863
2860,0,0.844
2870,0,0.856
2880,0,0.863
2890,0,0.856
2900,0,0.856
2910,0,0.856
2920,0,0.85
2930,0,0.85
2940,0,0.844
2950,0,0.856
2960,0,0.85
2970,0,0.85
2980,0,0.838
2990,0,0.85
3000,0,0.856
3010,0,0.856
3020,0,0.85
3030,0,0.85
3040,0,0.844
3050,0,0.844
3060,0,0.856
3070,0,0.838
3080,0,0.85
3090,0,0.831
3100,0,0.844
3110,0,0.863
3120,0,0.844
3130,0,0.856
3140,0,0.85
3150,0,0.831
3160,0,0.838
3170,0,0.85
3180,0,0.844
3190,0,0.85
3200,0,0.831
