t_ms,PWM,Presion_kPa
10,0,-1.775
20,0,-1.775
30,0,-1.769
40,0,-1.762
50,0,-1.769
60,0,-1.769
70,0,-1.775
80,0,-1.762
90,0,-1.769
100,0,-1.775
110,0,-1.781
120,0,-1.775
130,0,-1.769
140,0,-1.769
150,0,-1.769
160,0,-1.762
170,0,-1.762
180,0,-1.756
190,0,-1.750
200,0,-1.737
210,0,-1.725
220,0,-1.737
230,0,-1.719
240,0,-1.719
250,0,-1.719
260,0,-1.712
270,0,-1.725
280,0,-1.719
290,0,-1.719
300,0,-1.706
310,0,-1.700
320,0,-1.700
330,0,-1.712
340,0,-1.706
350,0,-1.712
360,0,-1.706
370,0,-1.706
380,0,-1.706
390,0,-1.706
400,0,-1.700
410,0,-1.706
420,0,-1.694
430,0,-1.687
440,0,-1.681
450,0,-1.662
460,0,-1.681
470,0,-1.681
480,0,-1.687
490,0,-1.681
500,0,-1.675
510,0,-1.681
520,0,-1.675
530,0,-1.687
540,0,-1.687
550,0,-1.694
560,0,-1.700
570,0,-1.687
580,0,-1.687
590,0,-1.687
600,0,-1.687
610,0,-1.687
620,0,-1.687
630,0,-1.694
640,0,-1.687
650,0,-1.687
660,0,-1.694
670,0,-1.694
680,0,-1.694
690,0,-1.694
700,0,-1.687
710,0,-1.687
720,0,-1.694
730,0,-1.687
740,0,-1.694
750,0,-1.700
760,0,-1.687
770,0,-1.694
780,0,-1.694
790,0,-1.700
800,0,-1.694
810,0,-1.681
820,0,-1.687
830,0,-1.687
840,0,-1.681
850,0,-1.694
860,0,-1.694
870,0,-1.694
880,0,-1.687
890,0,-1.681
900,0,-1.681
910,0,-1.669
920,0,-1.675
930,0,-1.675
940,0,-1.675
950,0,-1.681
960,0,-1.669
970,0,-1.675
980,0,-1.675
990,0,-1.662
1000,0,-1.675
1010,0,-1.681
1020,0,-1.681
1030,0,-1.681
1040,0,-1.675
1050,0,-1.662
1060,0,-1.662
1070,0,-1.669
1080,0,-1.662
1090,0,-1.656
1100,0,-1.650
1110,0,-1.644
1120,0,-1.650
1130,0,-1.644
1140,0,-1.656
1150,0,-1.656
1160,0,-1.662
1170,0,-1.662
1180,0,-1.669
1190,0,-1.675
1200,0,-1.669
1210,0,-1.662
1220,0,-1.669
1230,0,-1.669
1240,0,-1.656
1250,0,-1.656
1260,0,-1.656
1270,0,-1.656
1280,0,-1.637
1290,0,-1.650
1300,0,-1.650
1310,0,-1.650
1320,0,-1.656
1330,0,-1.662
1340,0,-1.662
1350,0,-1.656
1360,0,-1.662
1370,0,-1.669
2380,0,-2.056
2390,0,-2.056
2400,0,-2.044
2410,0,-2.012
2420,0,-2.012
2430,0,-2.019
2440,0,-2.019
2450,0,-2.012
2460,0,-2.012
2470,0,-2.006
2480,0,-2.012
2490,0,-1.956
2500,0,-1.956
2510,0,-1.956
2520,0,-1.962
2530,0,-1.900
2540,0,-1.894
2550,0,-1.894
2560,0,-1.969
2570,0,-1.962
2580,0,-1.912
2590,0,-1.906
2600,0,-1.906
2610,0,-1.906
2620,0,-1.837
2630,0,-1.831
2640,0,-1.850
2650,0,-1.856
2660,0,-1.850
2670,0,-1.850
2680,0,-1.819
2690,0,-1.787
2700,0,-1.787
2710,0,-1.794
2720,0,-1.819
2730,0,-1.856
2740,0,-1.800
2750,0,-1.800
2760,0,-1.800
2770,0,-1.794
2780,0,-1.800
2790,0,-1.806
2800,0,-1.744
2810,0,-1.756
2820,0,-1.819
2830,0,-1.806
2840,0,-1.812
2850,0,-1.812
2860,0,-1.800
2870,0,-1.806
2880,0,-1.819
2890,0,-1.756
2900,0,-1.756
2910,0,-1.750
2920,0,-1.750
2930,0,-1.744
2940,0,-1.750
2950,0,-1.762
2960,0,-1.762
2970,0,-1.712
2980,0,-1.700
2990,0,-1.694
3000,0,-1.700
3010,0,-1.700
3020,0,-1.694
3030,0,-1.700
3040,0,-1.700
3050,0,-1.687
3060,0,-1.694
3070,0,-1.700
3080,0,-1.700
3090,0,-1.700
3100,0,-1.700
3110,0,-1.700
3120,0,-1.694
3130,0,-1.694
3140,0,-1.694
3150,0,-1.700
3160,0,-1.700
3170,0,-1.694
3180,0,-1.706
3190,0,-1.706
3200,0,-1.700
3210,0,-1.694
3220,0,-1.687
3230,0,-1.687
3240,0,-1.731
3250,0,-1.750
3260,0,-1.762
3270,0,-1.800
3280,0,-1.875
3290,0,-1.931
3300,0,-1.944
3310,0,-2.037
3320,0,-2.081
3330,0,-2.100
3340,0,-2.156
3350,0,-2.156
3360,0,-2.150
3370,0,-2.156
3380,0,-2.156
3390,0,-2.137
3400,0,-2.087
3410,0,-2.025
3420,0,-1.975
3430,0,-1.906
3440,0,-1.937
3450,0,-2.106
3460,0,-2.181
3470,0,-2.156
3480,0,-2.112
3490,0,-2.081
3500,0,-1.931
3510,0,-1.975
3520,0,-1.944
3530,0,-1.962
3540,0,-1.912
3550,0,-1.919
3560,0,-1.981
3570,0,-1.987
3580,0,-2.037
3590,0,-2.037
3600,0,-2.044
3610,0,-2.144
3620,0,-2.137
3630,0,-2.062
3640,0,-2.112
3650,0,-2.112
3660,0,-2.106
3670,0,-2.119
3680,0,-2.112
3690,0,-2.125
3700,0,-2.119
3710,0,-2.119
3720,0,-2.125
3730,0,-2.125
3740,0,-2.137
3750,0,-2.137
3760,0,-2.144
3770,0,-2.144
3780,0,-2.144
3790,0,-2.169
3800,0,-2.175
3810,0,-2.181
3820,0,-2.194
3830,0,-2.212
3840,0,-2.200
3850,0,-2.219
3860,0,-2.219
3870,0,-2.225
3880,0,-2.231
3890,0,-2.212
3900,0,-2.212
3910,0,-2.212
3920,0,-2.219
3930,0,-2.225
3940,0,-2.225
3950,0,-2.225
3960,0,-2.237
3970,0,-2.244
3980,0,-2.231
3990,0,-2.231
4000,0,-2.225
4010,0,-2.212
4020,0,-2.225
4030,0,-2.225
4040,0,-2.225
4050,0,-2.244
4060,0,-2.256
4070,0,-2.256
4080,0,-2.275
4090,0,-2.281
4100,0,-2.287
4110,0,-2.287
4120,0,-2.294
4130,0,-2.281
4140,0,-2.275
4150,0,-2.275
4160,0,-2.281
4170,0,-2.281
4180,0,-2.287
4190,0,-2.294
4200,0,-2.287
4210,0,-2.287
4220,0,-2.294
4230,0,-2.287
4240,0,-2.294
4250,0,-2.306
4260,0,-2.300
4270,0,-2.300
4280,0,-2.300
4290,0,-2.287
4300,0,-2.294
4310,0,-2.294
4320,0,-2.312
4330,0,-2.306
4340,0,-2.306
4350,0,-2.312
4360,0,-2.300
4370,0,-2.306
4380,0,-2.306
4390,0,-2.306
4400,0,-2.312
4410,0,-2.306
4420,0,-2.306
4430,0,-2.312
4440,0,-2.306
4450,0,-2.319
4460,0,-2.325
4470,0,-2.319
4480,0,-2.319
4490,0,-2.319
4500,0,-2.312
4510,0,-2.319
4520,0,-2.306
4530,0,-2.319
4540,0,-2.325
4550,0,-2.325
4560,0,-2.325
4570,0,-2.325
4580,0,-2.331
4590,0,-2.325
4600,0,-2.325
4610,0,-2.325
4620,0,-2.312
4630,0,-2.319
4640,0,-2.319
4650,0,-2.306
4660,0,-2.325
4670,0,-2.325
4680,0,-2.319
4690,0,-2.325
4700,0,-2.337
4710,0,-2.331
4720,0,-2.350
4730,0,-2.350
4740,0,-2.356
4750,0,-2.362
4760,0,-2.369
4770,0,-2.375
4780,0,-2.362
4790,0,-2.362
4800,0,-2.362
4810,0,-2.375
4820,0,-2.369
4830,0,-2.381
4840,0,-2.381
4850,0,-2.381
4860,0,-2.381
4870,0,-2.381
4880,0,-2.381
4890,0,-2.400
4900,0,-2.400
4910,0,-2.406
4920,0,-2.406
4930,0,-2.412
4940,0,-2.419
4950,0,-2.412
4960,0,-2.419
4970,0,-2.412
4980,0,-2.406
4990,0,-2.425
5000,0,-2.412
5010,255,-2.325
5020,255,-1.831
5030,255,-2.012
5040,255,-2.937
5050,255,-3.994
5060,255,-5.106
5070,255,-6.319
5080,255,-7.500
5090,255,-8.631
5100,255,-9.681
5110,255,-10.675
5120,255,-11.631
5130,255,-12.469
5140,255,-13.262
5150,255,-14.063
5160,255,-14.856
5170,255,-15.644
5180,255,-16.375
5190,255,-17.075
5200,255,-17.712
5210,255,-18.294
5220,255,-18.844
5230,255,-19.394
5240,255,-19.894
5250,255,-20.394
5260,255,-20.875
5270,255,-21.281
5280,255,-21.694
5290,255,-22.044
5300,255,-22.500
5310,255,-22.881
5320,255,-23.244
5330,255,-23.481
5340,255,-23.825
5350,255,-24.150
5360,255,-24.481
5370,255,-24.738
5380,255,-24.987
5390,255,-25.231
5400,255,-25.481
5410,255,-25.687
5420,255,-25.894
5430,255,-26.156
5440,255,-26.319
5450,255,-26.481
5460,255,-26.669
5470,255,-26.800
5480,246,-26.925
5490,255,-27.100
5500,245,-27.256
5510,255,-27.381
5520,248,-27.500
5530,255,-27.619
5540,251,-27.706
5550,255,-27.775
5560,255,-27.894
5570,249,-27.969
5580,255,-28.081
5590,252,-28.144
5600,255,-28.237
5610,254,-28.300
5620,255,-28.387
5630,255,-28.444
5640,252,-28.506
5650,255,-28.569
5660,255,-28.581
5670,253,-28.637
5680,255,-28.719
5690,255,-28.706
5700,253,-28.781
5710,255,-28.850
5720,255,-28.856
5730,252,-28.919
5740,255,-28.919
5750,255,-28.956
5760,255,-28.987
5770,255,-28.987
5780,250,-29.056
5790,255,-29.056
5800,255,-29.075
5810,255,-29.087
5820,252,-29.125
5830,255,-29.144
5840,255,-29.137
5850,253,-29.200
5860,255,-29.225
5870,255,-29.206
5880,255,-29.212
5890,255,-29.206
5900,255,-29.250
5910,255,-29.250
5920,253,-29.275
5930,255,-29.275
5940,255,-29.275
5950,255,-29.281
5960,255,-29.281
5970,255,-29.281
5980,255,-29.281
5990,253,-29.356
6000,255,-29.325
6010,255,-29.369
6020,255,-29.369
6030,255,-29.362
6040,255,-29.356
6050,255,-29.356
6060,255,-29.362
6070,255,-29.356
6080,255,-29.356
6090,255,-29.375
6100,255,-29.369
6110,255,-29.369
6120,255,-29.375
6130,255,-29.362
6140,254,-29.406
6150,255,-29.369
6160,255,-29.444
6170,255,-29.444
6180,255,-29.400
6190,255,-29.431
6200,255,-29.444
6210,255,-29.450
6220,255,-29.394
6230,255,-29.444
6240,255,-29.444
6250,255,-29.444
6260,255,-29.450
6270,255,-29.456
6280,255,-29.450
6290,255,-29.456
6300,255,-29.450
6310,255,-29.450
6320,255,-29.444
6330,255,-29.444
6340,255,-29.437
6350,255,-29.437
6360,255,-29.444
6370,255,-29.406
6380,255,-29.456
6390,255,-29.419
6400,255,-29.450
6410,254,-29.462
6420,255,-29.475
6430,255,-29.469
6440,255,-29.469
6450,255,-29.469
6460,255,-29.437
6470,255,-29.462
6480,255,-29.462
6490,255,-29.469
6500,255,-29.425
6510,255,-29.469
6520,255,-29.469
6530,255,-29.469
6540,255,-29.412
6550,255,-29.425
6560,255,-29.462
6570,255,-29.462
6580,255,-29.419
6590,255,-29.444
6600,255,-29.456
6610,255,-29.412
6620,255,-29.406
6630,255,-29.431
6640,255,-29.406
6650,255,-29.394
6660,255,-29.400
6670,255,-29.400
6680,255,-29.400
6690,255,-29.444
6700,255,-29.394
6710,255,-29.406
6720,255,-29.412
6730,255,-29.419
6740,255,-29.419
6750,255,-29.419
6760,255,-29.419
6770,255,-29.419
6780,255,-29.412
6790,255,-29.412
6800,255,-29.419
6810,255,-29.425
6820,255,-29.425
6830,255,-29.431
6840,255,-29.425
6850,255,-29.431
6860,255,-29.419
6870,255,-29.419
6880,255,-29.419
6890,255,-29.419
6900,255,-29.419
6910,255,-29.425
6920,255,-29.419
6930,255,-29.419
6940,255,-29.419
6950,255,-29.425
6960,255,-29.419
6970,255,-29.412
6980,255,-29.412
6990,255,-29.412
7000,255,-29.419
7010,255,-29.412
7020,255,-29.412
7030,255,-29.412
7040,255,-29.412
7050,255,-29.419
7060,255,-29.412
7070,255,-29.419
7080,255,-29.419
7090,255,-29.412
7100,255,-29.412
7110,255,-29.412
7120,255,-29.412
7130,255,-29.412
7140,255,-29.419
7150,255,-29.425
7160,255,-29.419
7170,255,-29.419
7180,255,-29.419
7190,255,-29.412
7200,255,-29.381
7210,255,-29.381
7220,255,-29.425
7230,255,-29.425
7240,255,-29.375
7250,255,-29.369
7260,255,-29.400
7270,255,-29.350
7280,255,-29.356
7290,255,-29.381
7300,255,-29.381
7310,255,-29.400
7320,255,-29.375
7330,255,-29.419
7340,255,-29.412
7350,255,-29.400
7360,255,-29.369
7370,255,-29.369
7380,255,-29.375
7390,255,-29.375
7400,255,-29.381
7410,255,-29.369
7420,255,-29.369
7430,255,-29.369
7440,255,-29.369
7450,255,-29.381
7460,255,-29.387
7470,255,-29.387
7480,255,-29.387
7490,255,-29.381
7500,255,-29.375
7510,255,-29.381
7520,255,-29.375
7530,255,-29.381
7540,255,-29.381
7550,255,-29.387
7560,255,-29.381
7570,255,-29.381
7580,255,-29.387
7590,255,-29.387
7600,255,-29.387
7610,255,-29.387
7620,255,-29.381
7630,255,-29.387
7640,255,-29.387
7650,255,-29.400
7660,255,-29.387
7670,255,-29.387
7680,255,-29.375
7690,255,-29.394
7700,255,-29.394
7710,255,-29.387
7720,255,-29.394
7730,255,-29.387
7740,255,-29.387
7750,255,-29.381
7760,255,-29.387
7770,255,-29.387
7780,255,-29.394
7790,255,-29.394
7800,255,-29.400
7810,255,-29.400
7820,255,-29.394
7830,255,-29.400
7840,255,-29.400
7850,255,-29.400
7860,255,-29.394
7870,255,-29.400
7880,255,-29.400
7890,255,-29.394
7900,255,-29.394
7910,255,-29.394
7920,255,-29.400
7930,255,-29.400
7940,255,-29.406
7950,255,-29.412
7960,255,-29.412
7970,255,-29.412
7980,255,-29.412
7990,255,-29.406
8000,255,-29.419
8010,255,-29.412
8020,255,-29.412
8030,255,-29.419
8040,255,-29.419
8050,255,-29.412
8060,255,-29.412
8070,255,-29.406
8080,255,-29.412
8090,255,-29.419
8100,255,-29.419
8110,255,-29.412
8120,255,-29.412
8130,255,-29.412
8140,255,-29.406
8150,255,-29.412
8160,255,-29.412
8170,255,-29.406
8180,255,-29.412
8190,255,-29.406
8200,255,-29.419
8210,255,-29.419
8220,255,-29.406
8230,255,-29.412
8240,255,-29.406
8250,255,-29.419
8260,255,-29.412
8270,255,-29.419
8280,255,-29.419
8290,255,-29.419
8300,255,-29.425
8310,255,-29.419
8320,255,-29.419
8330,255,-29.419
8340,255,-29.425
8350,255,-29.419
8360,255,-29.425
8370,255,-29.425
8380,255,-29.425
8390,255,-29.425
8400,255,-29.425
8410,255,-29.437
8420,255,-29.431
8430,255,-29.437
8440,255,-29.437
8450,255,-29.431
8460,255,-29.387
8470,255,-29.431
8480,255,-29.425
8490,255,-29.431
8500,255,-29.394
8510,255,-29.425
8520,255,-29.431
8530,255,-29.444
8540,255,-29.387
8550,255,-29.394
8560,255,-29.400
8570,255,-29.444
8580,255,-29.375
8590,255,-29.431
8600,255,-29.437
8610,255,-29.394
8620,255,-29.381
8630,255,-29.394
8640,255,-29.419
8650,255,-29.375
8660,255,-29.381
8670,255,-29.381
8680,255,-29.387
8690,255,-29.375
8700,255,-29.381
8710,255,-29.381
8720,255,-29.381
8730,255,-29.431
8740,255,-29.381
8750,255,-29.387
8760,255,-29.381
8770,255,-29.381
8780,255,-29.387
8790,255,-29.381
8800,255,-29.381
8810,255,-29.387
8820,255,-29.394
8830,255,-29.394
8840,255,-29.381
8850,255,-29.394
8860,255,-29.387
8870,255,-29.394
8880,255,-29.387
8890,255,-29.387
8900,255,-29.387
8910,255,-29.394
8920,255,-29.387
8930,255,-29.394
8940,255,-29.394
8950,255,-29.387
8960,255,-29.387
8970,255,-29.394
8980,255,-29.394
8990,255,-29.400
9000,255,-29.394
9010,255,-29.394
9020,255,-29.394
9030,255,-29.400
9040,255,-29.394
9050,255,-29.400
9060,255,-29.406
9070,255,-29.419
9080,255,-29.400
9090,255,-29.400
9100,255,-29.400
