t_ms,PWM,Presion_kPa
10,0,3.694
20,0,3.644
30,0,3.656
40,0,3.656
50,0,3.650
60,0,3.656
70,0,3.656
80,0,3.650
90,0,3.656
100,0,3.644
110,0,3.650
120,0,3.663
130,0,3.663
140,0,3.675
150,0,3.644
160,0,3.650
170,0,3.656
180,0,3.656
190,0,3.650
200,0,3.669
210,0,3.669
220,0,3.638
230,0,3.650
240,0,3.656
250,0,3.644
260,0,3.656
270,0,3.656
280,0,3.644
290,0,3.656
300,0,3.663
310,0,3.650
320,0,3.675
330,0,3.656
340,0,3.675
350,0,3.650
360,0,3.675
370,0,3.663
380,0,3.669
390,0,3.669
400,0,3.675
410,0,3.675
420,0,3.663
430,0,3.681
440,0,3.663
450,0,3.669
460,0,3.681
470,0,3.688
480,0,3.675
490,0,3.688
500,0,3.669
510,0,3.675
520,0,3.688
530,0,3.675
540,0,3.675
550,0,3.681
560,0,3.669
570,0,3.669
580,0,3.681
590,0,3.681
600,0,3.675
610,0,3.688
620,0,3.669
630,0,3.675
640,0,3.675
650,0,3.663
660,0,3.656
670,0,3.681
680,0,3.675
690,0,3.656
700,0,3.681
710,0,3.681
720,0,3.669
730,0,3.688
740,0,3.681
750,0,3.675
760,0,3.663
770,0,3.675
780,0,3.675
790,0,3.656
800,0,3.681
810,0,3.681
820,0,3.663
830,0,3.669
840,0,3.675
850,0,3.675
860,0,3.663
870,0,3.675
880,0,3.688
890,0,3.669
900,0,3.681
910,0,3.675
920,0,3.681
930,0,3.669
940,0,3.669
950,0,3.669
960,0,3.669
970,0,3.663
980,0,3.675
990,0,3.681
1000,0,3.669
1010,0,3.675
1020,0,3.663
1030,0,3.675
1040,0,3.669
1050,0,3.669
1060,0,3.663
1070,0,3.650
1080,0,3.675
1090,0,3.681
1100,0,3.675
1110,0,3.675
1120,0,3.675
1130,0,3.681
1140,0,3.681
1150,0,3.675
1160,0,3.681
1170,0,3.681
1180,0,3.681
1190,0,3.669
1200,0,3.675
1210,0,3.688
1220,0,3.669
1230,0,3.675
1240,0,3.675
1250,0,3.681
1260,0,3.675
1270,0,3.681
1280,0,3.681
1290,0,3.675
1300,0,3.694
1310,0,3.675
1320,0,3.669
1330,0,3.681
1340,0,3.681
1350,0,3.669
1360,0,3.681
1370,0,3.688
1380,0,3.694
1390,0,3.681
1400,0,3.681
1410,0,3.700
1420,0,3.694
1430,0,3.681
1440,0,3.663
1450,0,3.663
1460,0,3.681
1470,0,3.700
1480,0,3.688
1490,0,3.681
1500,0,3.663
1510,0,3.688
1520,0,3.681
1530,0,3.675
1540,0,3.675
1550,0,3.675
1560,0,3.669
1570,0,3.669
1580,0,3.681
1590,0,3.688
1600,0,3.675
1610,0,3.681
1620,0,3.681
1630,0,3.681
1640,0,3.681
1650,0,3.688
1660,0,3.694
1670,0,3.694
1680,0,3.700
1690,0,3.694
1700,0,3.694
1710,0,3.700
1720,0,3.663
1730,0,3.681
1740,0,3.688
1750,0,3.688
1760,0,3.694
1770,0,3.706
1780,0,3.694
1790,0,3.681
1800,0,3.713
1810,0,3.713
1820,0,3.681
1830,0,3.688
1840,0,3.681
1850,0,3.700
1860,0,3.694
1870,0,3.688
1880,0,3.681
1890,0,3.681
1900,0,3.688
1910,0,3.669
1920,0,3.688
1930,0,3.700
1940,0,3.688
1950,0,3.700
1960,0,3.688
1970,0,3.694
1980,0,3.688
1990,0,3.675
2000,0,3.688
2010,0,3.675
2020,0,3.669
2030,0,3.688
2040,0,3.688
2050,0,3.694
2060,0,3.694
2070,0,3.688
2080,0,3.688
2090,0,3.694
2100,0,3.681
2110,0,3.681
2120,0,3.681
2130,0,3.694
2140,0,3.694
2150,0,3.694
2160,0,3.688
2170,0,3.681
2180,0,3.675
2190,0,3.681
2200,0,3.681
2210,0,3.688
2220,0,3.688
2230,0,3.688
2240,0,3.688
2250,0,3.688
2260,0,3.688
2270,0,3.694
2280,0,3.681
2290,0,3.688
2300,0,3.681
2310,0,3.675
2320,0,3.688
2330,0,3.694
2340,0,3.688
2350,0,3.688
2360,0,3.694
2370,0,3.688
2380,0,3.681
2390,0,3.688
2400,0,3.688
2410,0,3.681
2420,0,3.694
2430,0,3.694
2440,0,3.694
2450,0,3.694
2460,0,3.694
2470,0,3.694
2480,0,3.681
2490,0,3.688
2500,0,3.688
2510,0,3.681
2520,0,3.688
2530,0,3.694
2540,0,3.694
2550,0,3.675
2560,0,3.681
2570,0,3.681
2580,0,3.688
2590,0,3.694
2600,0,3.688
2610,0,3.694
2620,0,3.694
2630,0,3.688
2640,0,3.688
2650,0,3.681
2660,0,3.681
2670,0,3.688
2680,0,3.681
2690,0,3.688
2700,0,3.681
2710,0,3.688
2720,0,3.681
2730,0,3.694
2740,0,3.688
2750,0,3.694
2760,0,3.688
2770,0,3.688
2780,0,3.681
2790,0,3.688
2800,0,3.713
2810,0,3.688
2820,0,3.700
2830,0,3.688
2840,0,3.681
2850,0,3.675
2860,0,3.688
2870,0,3.681
2880,0,3.681
2890,0,3.681
2900,0,3.681
2910,0,3.688
2920,0,3.681
2930,0,3.681
2940,0,3.675
2950,0,3.675
2960,0,3.675
2970,0,3.669
2980,0,3.675
2990,0,3.694
3000,0,3.681
3010,0,3.688
3020,0,3.675
3030,0,3.688
