t_ms,PWM,Presion_kPa,,,
10,0,7.063,,,
20,0,7.075,,,
30,0,7.044,,,
40,0,7.044,,,
50,0,7.056,,,
60,0,7.013,,,
70,0,7.038,,,
80,0,7.013,,,
90,0,7.044,,,
100,0,7,,,
110,0,7.025,,,
120,0,7,,,
130,0,7.025,,,
140,0,6.994,,,
150,0,6.975,,,
160,0,6.994,,,
170,0,7.006,,,
180,0,6.975,,,
190,0,6.975,,,
200,0,6.988,,,
210,0,7.013,,,
220,0,6.988,,,
230,0,7.013,,,
240,0,7,,,
250,0,7,,,
260,0,7.006,,,
270,0,7.025,,,
280,0,7,,,
290,0,7.056,,,
300,0,7.006,,,
310,0,7,,,
320,0,7.006,,,
330,0,7,,,
340,0,7.013,,,
350,0,7.013,,,
360,0,7.013,,,
370,0,7.006,,,
380,0,7.013,,,
390,0,7.013,,,
400,0,7.006,,,
410,0,7.013,,,
420,0,7.013,,,
430,0,7.013,,,
440,0,7.006,,,
450,0,7.013,,,
460,0,7,,,
470,0,7.013,,,
480,0,7.006,,,
490,0,7.006,,,
500,0,7.019,,,
510,0,7.006,,,
520,0,7.013,,,
530,0,7.013,,,
540,0,7.013,,,
550,0,7.013,,,
560,0,7,,,
570,0,7,,,
580,0,7.019,,,
590,0,7.006,,,
600,0,7.013,,,
610,0,7.006,,,
620,0,7.006,,,
630,0,7.019,,,
640,0,7.013,,,
650,0,7,,,
660,0,7.013,,,
670,0,7.006,,,
680,0,6.994,,,
690,0,7.006,,,
700,0,7.013,,,
710,0,7.006,,,
720,0,7.006,,,
730,0,7.006,,,
740,0,7.006,,,
750,0,7.006,,,
760,0,7.013,,,
770,0,7.006,,,
780,0,7.013,,,
790,0,7.006,,,
800,0,7,,,
810,0,7.013,,,
820,0,7.013,,,
830,0,7.006,,,
840,0,7.019,,,
850,0,7.006,,,
860,0,7.006,,,
870,0,7,,,
880,0,7,,,
890,0,7.013,,,
900,0,7.013,,,
910,0,7,,,
920,0,7,,,
930,0,7,,,
940,0,7,,,
950,0,7.006,,,
960,0,7.013,,,
970,0,7,,,
980,0,6.994,,,
990,0,7,,,
1000,0,7,,,
1010,0,7,,,
1020,0,7.013,,,
1030,0,6.994,,,
1040,0,6.994,,,
1050,0,6.988,,,
1060,0,7,,,
1070,0,7,,,
1080,0,6.994,,,
1090,0,7,,,
1100,0,7,,,
1110,0,7,,,
1120,0,7.006,,,
1130,0,6.994,,,
1140,0,6.994,,,
1150,0,6.994,,,
1160,0,7,,,
1170,0,6.994,,,
1180,0,7,,,
1190,0,6.994,,,
1200,0,6.994,,,
1210,0,7,,,
1220,0,6.988,,,
1230,0,7.006,,,
1240,0,6.994,,,
1250,0,6.994,,,
1260,0,7.006,,,
1270,0,7.006,,,
1280,0,7.025,,,
1290,0,7.044,,,
1300,0,7.056,,,
1310,0,7.013,,,
1320,0,6.994,,,
1330,0,7.038,,,
1340,0,6.994,,,
1350,0,7.025,,,
1360,0,6.988,,,
1370,0,6.981,,,
1380,0,7.013,,,
1390,0,6.981,,,
1400,0,6.994,,,
1410,0,7.038,,,
1420,0,6.981,,,
1430,0,6.981,,,
1440,0,6.994,,,
1450,0,6.981,,,
1460,0,7.006,,,
1470,0,6.988,,,
1480,0,6.988,,,
1490,0,7,,,
1500,0,7,,,
1510,0,7,,,
1520,0,6.988,,,
1530,0,6.981,,,
1540,0,7,,,
1550,0,6.994,,,
1560,0,6.988,,,
1570,0,6.975,,,
1580,0,6.981,,,
1590,0,6.988,,,
1600,0,6.975,,,
1610,0,6.975,,,
1620,0,7.006,,,
1630,0,7,,,
1640,0,6.988,,,
1650,0,6.981,,,
1660,0,6.988,,,
1670,0,6.988,,,
1680,0,6.981,,,
1690,0,6.988,,,
1700,0,6.994,,,
1710,0,6.988,,,
1720,0,6.988,,,
1730,0,6.988,,,
1740,0,7,,,
1750,0,6.981,,,
1760,0,6.988,,,
1770,0,7,,,
1780,0,6.988,,,
1790,0,6.994,,,
1800,0,7,,,
1810,0,6.988,,,
1820,0,6.988,,,
1830,0,6.988,,,
1840,0,6.981,,,
1850,0,6.994,,,
1860,0,6.988,,,
1870,0,6.988,,,
1880,0,6.988,,,
1890,0,6.988,,,
1900,0,6.994,,,
1910,0,6.981,,,
1920,0,6.988,,,
1930,0,7,,,
1940,0,6.988,,,
1950,0,6.988,,,
1960,0,6.994,,,
1970,0,6.988,,,
1980,0,6.988,,,
1990,0,6.981,,,
2000,0,6.994,,,
2010,0,7,,,
2020,0,6.994,,,
2030,0,6.988,,,
2040,0,6.988,,,
2050,0,6.994,,,
2060,0,6.988,,,
2070,0,6.994,,,
2080,0,7,,,
2090,0,6.981,,,
2100,0,6.981,,,
2110,0,6.994,,,
2120,0,6.981,,,
2130,0,6.994,,,
2140,0,6.988,,,
2150,0,6.988,,,
2160,0,6.994,,,
2170,0,6.988,,,
2180,0,6.981,,,
2190,0,7,,,
2200,0,6.981,,,
2210,0,6.994,,,
2220,0,7,,,
2230,0,7,,,
2240,0,7.006,,,
2250,0,6.994,,,
2260,0,6.994,,,
2270,0,7,,,
2280,0,6.994,,,
2290,0,7.019,,,
2300,0,7,,,
2310,0,6.994,,,
2320,0,6.994,,,
2330,0,6.994,,,
2340,0,6.994,,,
2350,0,7,,,
2360,0,7,,,
2370,0,6.994,,,
2380,0,6.988,,,
2390,0,7,,,
2400,0,6.994,,,
2410,0,7,,,
2420,0,7.006,,,
2430,0,7,,,
2440,0,6.994,,,
2450,0,7,,,
2460,0,7,,,
2470,0,7,,,
2480,0,6.994,,,
2490,0,6.988,,,
2500,0,7,,,
2510,0,6.981,,,
2520,0,6.994,,,
2530,0,6.994,,,
2540,0,6.988,,,
2550,0,6.994,,,
2560,0,6.988,,,
2570,0,6.994,,,
2580,0,7,,,
2590,0,7,,,
2600,0,6.988,,,
2610,0,6.994,,,
2620,0,6.994,,,
2630,0,7,,,
2640,0,6.994,,,
2650,0,6.988,,,
2660,0,7,,,
2670,0,6.988,,,
2680,0,7.006,,,
2690,0,6.994,,,
2700,0,6.994,,,
2710,0,7.006,,,
2720,0,6.994,,,
2730,0,6.988,,,
2740,0,6.988,,,
2750,0,6.994,,,
2760,0,7.006,,,
2770,0,7.019,,,
2780,0,6.994,,,
2790,0,7,,,
2800,0,6.994,,,
2810,0,6.994,,,
2820,0,7,,,
2830,0,7.006,,,
2840,0,7.006,,,
2850,0,7.006,,,
2860,0,7.013,,,
2870,0,7.006,,,
2880,0,7.006,,,
2890,0,7.013,,,
2900,0,7,,,
2910,0,7.013,,,
2920,0,7.013,,,
2930,0,7.006,,,
2940,0,7.019,,,
2950,0,7.013,,,
2960,0,7.013,,,
2970,0,7.038,,,
2980,0,7.019,,,
2990,0,7.019,,,
3000,0,7.019,,,
3010,0,7.013,,,
3020,0,7.013,,,
3030,0,7.019,,,
3040,0,7.013,,,
3050,0,7.013,,,
3060,0,7.019,,,
3070,0,7.019,,,
3080,0,7.006,,,
3090,0,7.019,,,
3100,0,7.019,,,
3110,0,7,,,
3120,0,7.019,,,
3130,0,7.013,,,
3140,0,7.013,,,
3150,0,7.031,,,
3160,0,7.006,,,
3170,0,7,,,
3180,0,7,,,
3190,0,7.013,,,
3200,0,7.019,,,
3210,0,7.019,,,
3220,0,7.019,,,
3230,0,7.019,,,
3240,0,7,,,
3250,0,7.019,,,
3260,0,7.006,,,
3270,0,7.006,,,
3280,0,7.025,,,
3290,0,7.019,,,
3300,0,7.025,,,
3310,0,7.013,,,
3320,0,7.006,,,
3330,0,7.013,,,
3340,0,7.013,,,
3350,0,7.013,,,
3360,0,7.019,,,
3370,0,7.013,,,
3380,0,7.013,,,
3390,0,7.019,,,
3400,0,7.013,,,
3410,0,7.019,,,
3420,0,7.019,,,
3430,0,7.025,,,
3440,0,7.006,,,
3450,0,7.025,,,
3460,0,7.025,,,
3470,0,7.006,,,
3480,0,7.013,,,
3490,0,7.025,,,
3500,0,7.006,,,
3510,0,7.019,,,
3520,0,7.019,,,
3530,0,7.006,,,
3540,0,7.025,,,
3550,0,7.013,,,
3560,0,7.006,,,
3570,0,7.019,,,
3580,0,7.025,,,
3590,0,7.013,,,
3600,0,7.025,,,
3610,0,7.013,,,
3620,0,7.019,,,
3630,0,7.019,,,
3640,0,7.031,,,
3650,0,7.019,,,
3660,0,7.025,,,
3670,0,7.019,,,
3680,0,7.006,,,
3690,0,7.013,,,
3700,0,7.019,,,
3710,0,7.013,,,
3720,0,7.025,,,
3730,0,7.019,,,
3740,0,7.025,,,
3750,0,7.031,,,
3760,0,7.013,,,
3770,0,7.013,,,
3780,0,7.013,,,
3790,0,7.019,,,
3800,0,7.013,,,
3810,0,7.025,,,
3820,0,7.006,,,
3830,0,7.006,,,
3840,0,7.013,,,
3850,0,7.006,,,
3860,0,7.006,,,
3870,0,7.006,,,
3880,0,7.006,,,
3890,0,6.994,,,
3900,0,7.006,,,
3910,0,7.006,,,
3920,0,7,,,
3930,0,7,,,
3940,0,7,,,
3950,0,7.013,,,
3960,0,7.006,,,
3970,0,7.013,,,
3980,0,7.025,,,
3990,0,7,,,
4000,0,7.013,,,
4010,0,7.013,,,
4020,0,7.019,,,
4030,0,7.013,,,
4040,0,6.994,,,
4050,0,7.013,,,
4060,0,7.013,,,
4070,0,6.994,,,
4080,0,7,,,
4090,0,7,,,
4100,0,7.006,,,
4110,0,7.013,,,
4120,0,6.994,,,
4130,0,7.006,,,
4140,0,7,,,
4150,0,7,,,
4160,0,7,,,
4170,0,6.994,,,
4180,0,7,,,
4190,0,7.013,,,
4200,0,7.006,,,
4210,0,7.006,,,
4220,0,7.006,,,
4230,0,6.994,,,
4240,0,7,,,
4250,0,6.994,,,
4260,0,6.994,,,
4270,0,7,,,
4280,0,7,,,
4290,0,7.006,,,
4300,0,7.013,,,
4310,0,6.994,,,
4320,0,7.025,,,
4330,0,7.013,,,
4340,0,6.994,,,
4350,0,6.994,,,
4360,0,6.988,,,
4370,0,7,,,
4380,0,6.981,,,
4390,0,7.006,,,
4400,0,7,,,
4410,0,7.006,,,
4420,0,7.013,,,
4430,0,6.988,,,
4440,0,7.006,,,
4450,0,7.013,,,
4460,0,7,,,
4470,0,7.019,,,
4480,0,7.006,,,
4490,0,7.006,,,
4500,0,7.013,,,
4510,0,7.013,,,
4520,0,6.994,,,
4530,0,7,,,
4540,0,6.994,,,
4550,0,7.006,,,
4560,0,7.013,,,
4570,0,7,,,
4580,0,7.019,,,
4590,0,7.006,,,
4600,0,7,,,
4610,0,7.006,,,
