t_ms,PWM,Presion_kPa
10,0,7
20,0,6.975
30,0,7.019
40,0,7.006
50,0,6.975
60,0,7.006
70,0,6.963
80,0,7.006
90,0,6.994
100,0,6.963
110,0,6.988
120,0,6.988
130,0,6.994
140,0,7
150,0,6.981
160,0,7.019
170,0,6.988
180,0,7.013
190,0,6.988
200,0,7.013
210,0,6.988
220,0,7.013
230,0,6.981
240,0,7.013
250,0,6.981
260,0,7.013
270,0,6.994
280,0,6.95
290,0,6.95
300,0,6.925
310,0,6.906
320,0,6.938
330,0,6.913
340,0,6.938
350,0,6.913
360,0,6.925
370,0,6.906
380,0,6.919
390,0,6.9
400,0,6.925
410,0,6.9
420,0,6.925
430,0,6.906
440,0,6.938
450,0,6.906
460,0,6.925
470,0,6.894
480,0,6.931
490,0,6.906
500,0,6.938
510,0,6.906
520,0,6.9
530,0,6.919
540,0,6.831
550,0,6.831
560,0,6.831
570,0,6.831
580,0,6.881
590,0,6.875
600,0,6.863
610,0,6.838
620,0,6.856
630,0,6.831
640,0,6.863
650,0,6.831
660,0,6.863
670,0,6.838
680,0,6.863
690,0,6.85
700,0,6.863
710,0,6.85
720,0,6.863
730,0,6.85
740,0,6.856
750,0,6.863
760,0,6.85
770,0,6.85
780,0,6.85
790,0,6.869
800,0,6.85
810,0,6.856
820,0,6.806
830,0,6.8
840,0,6.8
850,0,6.788
860,0,6.794
870,0,6.8
880,0,6.794
890,0,6.8
900,0,6.781
910,0,6.8
920,0,6.8
930,0,6.794
940,0,6.806
950,0,6.8
960,0,6.8
970,0,6.781
980,0,6.781
990,0,6.794
1000,0,6.794
1010,0,6.781
1020,0,6.806
1030,0,6.788
1040,0,6.8
1050,0,6.788
1060,0,6.806
1070,0,6.794
1080,0,6.806
1090,0,6.788
1100,0,6.738
1110,0,6.738
1120,0,6.731
1130,0,6.725
1140,0,6.719
1150,0,6.725
1160,0,6.725
1170,0,6.719
1180,0,6.725
1190,0,6.713
1200,0,6.731
1210,0,6.713
1220,0,6.725
1230,0,6.713
1240,0,6.731
1250,0,6.725
1260,0,6.738
1270,0,6.725
1280,0,6.738
1290,0,6.725
1300,0,6.731
1310,0,6.719
1320,0,6.719
1330,0,6.731
1340,0,6.731
1350,0,6.725
1360,0,6.738
1370,0,6.731
1380,0,6.738
1390,0,6.744
1400,0,6.725
1410,0,6.65
1420,0,6.656
1430,0,6.656
1440,0,6.663
1450,0,6.663
1460,0,6.663
1470,0,6.65
1480,0,6.656
1490,0,6.656
1500,0,6.656
1510,0,6.65
1520,0,6.656
1530,0,6.656
1540,0,6.663
1550,0,6.663
1560,0,6.669
1570,0,6.663
1580,0,6.669
1590,0,6.669
1600,0,6.669
1610,0,6.669
1620,0,6.688
1630,0,6.663
1640,0,6.663
1650,0,6.6
1660,0,6.606
1670,0,6.619
1680,0,6.613
1690,0,6.613
1700,0,6.613
1710,0,6.6
1720,0,6.613
1730,0,6.625
1740,0,6.613
1750,0,6.619
1760,0,6.625
1770,0,6.613
1780,0,6.619
1790,0,6.619
1800,0,6.619
1810,0,6.619
1820,0,6.625
1830,0,6.619
1840,0,6.619
1850,0,6.619
1860,0,6.619
1870,0,6.613
1880,0,6.619
1890,0,6.619
1900,0,6.631
1910,0,6.613
1920,0,6.619
1930,0,6.613
1940,0,6.6
1950,0,6.55
1960,0,6.556
1970,0,6.544
1980,0,6.544
1990,0,6.55
2000,0,6.544
2010,0,6.544
2020,0,6.544
2030,0,6.55
2040,0,6.55
2050,0,6.538
2060,0,6.538
2070,0,6.55
2080,0,6.544
2090,0,6.544
2100,0,6.531
2110,0,6.544
2120,0,6.538
2130,0,6.544
2140,0,6.538
2150,0,6.538
2160,0,6.538
2170,0,6.544
2180,0,6.544
2190,0,6.538
2200,0,6.544
2210,0,6.55
2220,0,6.544
2230,0,6.481
2240,0,6.475
2250,0,6.475
2260,0,6.469
2270,0,6.469
2280,0,6.475
2290,0,6.475
2300,0,6.475
2310,0,6.481
2320,0,6.463
2330,0,6.488
2340,0,6.475
2350,0,6.475
2360,0,6.463
2370,0,6.475
