t_ms,PWM,Presion_kPa
10,0,1.506
20,0,1.500
30,0,1.506
40,0,1.506
50,0,1.506
60,0,1.506
70,0,1.513
80,0,1.513
90,0,1.513
100,0,1.513
110,0,1.500
120,0,1.506
130,0,1.506
140,0,1.506
150,0,1.506
160,0,1.506
170,0,1.506
180,0,1.506
190,0,1.506
200,0,1.506
210,0,1.506
220,0,1.500
230,0,1.506
240,0,1.506
250,0,1.500
260,0,1.506
270,0,1.513
280,0,1.506
290,0,1.500
300,0,1.506
310,0,1.506
320,0,1.500
330,0,1.494
340,0,1.500
350,0,1.506
360,0,1.500
370,0,1.506
380,0,1.506
390,0,1.500
400,0,1.506
410,0,1.506
420,0,1.500
430,0,1.500
440,0,1.500
450,0,1.506
460,0,1.500
470,0,1.506
480,0,1.506
490,0,1.506
500,0,1.500
510,0,1.506
520,0,1.506
530,0,1.500
540,0,1.500
550,0,1.500
560,0,1.500
570,0,1.500
580,0,1.500
590,0,1.500
600,0,1.506
610,0,1.513
620,0,1.506
630,0,1.500
640,0,1.506
650,0,1.506
660,0,1.506
670,0,1.506
680,0,1.519
690,0,1.506
700,0,1.506
710,0,1.506
720,0,1.506
730,0,1.506
740,0,1.513
750,0,1.506
760,0,1.513
770,0,1.506
780,0,1.513
790,0,1.500
800,0,1.506
810,0,1.500
820,0,1.513
830,0,1.513
840,0,1.513
850,0,1.506
860,0,1.519
870,0,1.500
880,0,1.506
890,0,1.506
900,0,1.500
910,0,1.513
920,0,1.500
930,0,1.506
940,0,1.506
950,0,1.519
960,0,1.506
970,0,1.506
980,0,1.506
990,0,1.506
1000,0,1.500
1010,0,1.500
1020,0,1.500
1030,0,1.506
1040,0,1.506
1050,0,1.506
1060,0,1.506
1070,0,1.500
1080,0,1.500
1090,0,1.506
1100,0,1.500
1110,0,1.506
1120,0,1.506
1130,0,1.506
1140,0,1.513
1150,0,1.500
1160,0,1.513
1170,0,1.506
1180,0,1.500
1190,0,1.506
1200,0,1.513
1210,0,1.500
1220,0,1.513
1230,0,1.500
1240,0,1.506
1250,0,1.500
1260,0,1.506
1270,0,1.500
1280,0,1.513
1290,0,1.494
1300,0,1.500
1310,0,1.506
1320,0,1.500
1330,0,1.506
1340,0,1.506
1350,0,1.506
1360,0,1.506
1370,0,1.506
1380,0,1.500
1390,0,1.506
1400,0,1.500
1410,0,1.513
1420,0,1.506
1430,0,1.513
1440,0,1.500
1450,0,1.506
1460,0,1.500
1470,0,1.513
1480,0,1.506
1490,0,1.513
1500,0,1.500
1510,0,1.519
1520,0,1.506
1530,0,1.513
1540,0,1.494
1550,0,1.506
1560,0,1.513
1570,0,1.494
1580,0,1.500
1590,0,1.513
1600,0,1.494
1610,0,1.500
1620,0,1.525
1630,0,1.500
1640,0,1.513
1650,0,1.500
1660,0,1.519
1670,0,1.500
1680,0,1.513
1690,0,1.506
1700,0,1.513
1710,0,1.500
1720,0,1.506
1730,0,1.506
1740,0,1.506
1750,0,1.506
1760,0,1.513
1770,0,1.500
1780,0,1.506
1790,0,1.500
1800,0,1.506
1810,0,1.513
1820,0,1.506
1830,0,1.506
1840,0,1.506
1850,0,1.513
1860,0,1.506
1870,0,1.519
1880,0,1.513
1890,0,1.506
1900,0,1.513
1910,0,1.500
1920,0,1.513
1930,0,1.500
1940,0,1.519
1950,0,1.506
1960,0,1.525
1970,0,1.506
1980,0,1.513
1990,0,1.506
2000,0,1.519
2010,0,1.506
2020,0,1.513
2030,0,1.506
2040,0,1.519
2050,0,1.506
2060,0,1.513
2070,0,1.506
2080,0,1.513
2090,0,1.500
2100,0,1.513
2110,0,1.506
2120,0,1.513
2130,0,1.506
2140,0,1.513
2150,0,1.506
2160,0,1.519
2170,0,1.506
2180,0,1.519
2190,0,1.500
2200,0,1.519
2210,0,1.519
2220,0,1.500
2230,0,1.519
2240,0,1.513
2250,0,1.506
2260,0,1.513
2270,0,1.506
2280,0,1.519
2290,0,1.506
2300,0,1.525
2310,0,1.506
2320,0,1.506
2330,0,1.500
2340,0,1.513
2350,0,1.506
2360,0,1.519
2370,0,1.513
2380,0,1.513
2390,0,1.513
2400,0,1.506
2410,0,1.513
2420,0,1.506
2430,0,1.513
2440,0,1.506
2450,0,1.513
2460,0,1.513
2470,0,1.506
2480,0,1.513
2490,0,1.506
2500,0,1.513
2510,0,1.500
2520,0,1.513
2530,0,1.506
2540,0,1.519
2550,0,1.506
2560,0,1.513
2570,0,1.513
2580,0,1.506
2590,0,1.513
2600,0,1.506
2610,0,1.506
2620,0,1.506
2630,0,1.519
2640,0,1.506
2650,0,1.513
