t_ms,PWM,Presion_kPa
10,0,-0.019
20,0,-0.012
30,0,-0.006
40,0,-0.019
50,0,-0.019
60,0,0.000
70,0,-0.012
80,0,-0.006
90,0,-0.019
100,0,-0.006
110,0,-0.006
120,0,-0.012
130,0,0.000
140,0,-0.006
150,0,-0.012
160,0,0.013
170,0,-0.006
180,0,-0.006
190,0,-0.012
200,0,-0.006
210,0,-0.006
220,0,-0.006
230,0,-0.012
240,0,-0.006
250,0,0.000
260,0,-0.006
270,0,-0.006
280,0,-0.012
290,0,-0.006
300,0,-0.012
310,0,-0.019
320,0,-0.006
330,0,-0.012
340,0,-0.012
350,0,-0.006
360,0,-0.006
370,0,0.000
380,0,-0.006
390,0,-0.006
400,0,-0.006
410,0,-0.006
420,0,0.006
430,0,-0.012
440,0,-0.006
450,0,-0.006
460,0,-0.012
470,0,-0.012
480,0,-0.006
490,0,0.013
500,0,-0.012
510,0,-0.006
520,0,-0.006
530,0,-0.012
540,0,-0.006
550,0,-0.006
560,0,-0.006
570,0,-0.012
580,0,0.000
590,0,-0.006
600,0,-0.006
610,0,-0.012
620,0,-0.012
630,0,-0.006
640,0,-0.006
650,0,-0.012
660,0,-0.012
670,0,-0.012
680,0,-0.012
690,0,-0.006
700,0,-0.012
710,0,-0.012
720,0,-0.012
730,0,-0.012
740,0,-0.012
750,0,-0.012
760,0,-0.012
770,0,-0.012
780,0,-0.012
790,0,-0.012
800,0,-0.006
810,0,-0.012
820,0,0.000
830,0,-0.006
840,0,-0.006
850,0,-0.006
860,0,-0.012
870,0,-0.012
880,0,-0.019
890,0,-0.012
900,0,-0.012
910,0,-0.012
920,0,-0.006
930,0,-0.012
940,0,-0.006
950,0,-0.012
960,0,-0.006
970,0,-0.012
980,0,-0.006
990,0,-0.006
1000,0,-0.012
1010,0,0.000
1020,0,-0.006
1030,0,-0.006
1040,0,-0.012
1050,0,-0.012
1060,0,0.000
1070,0,-0.012
1080,0,-0.012
1090,0,-0.019
1100,0,-0.019
1110,0,-0.006
1120,0,-0.012
1130,0,-0.006
1140,0,-0.012
1150,0,-0.019
1160,0,0.000
1170,0,-0.012
1180,0,-0.006
1190,0,-0.012
1200,0,-0.006
1210,0,-0.006
1220,0,-0.012
1230,0,-0.006
1240,0,-0.006
1250,0,-0.012
1260,0,-0.012
1270,0,-0.012
1280,0,-0.012
1290,0,-0.006
1300,0,-0.019
1310,0,-0.012
1320,0,-0.012
1330,0,-0.012
1340,0,-0.006
1350,0,-0.012
1360,0,-0.012
1370,0,-0.019
1380,0,-0.006
1390,0,-0.006
1400,0,-0.012
1410,0,-0.019
1420,0,-0.012
1430,0,-0.025
1440,0,-0.012
1450,0,-0.012
1460,0,-0.012
1470,0,-0.006
1480,0,-0.006
1490,0,-0.006
1500,0,-0.006
1510,0,-0.012
1520,0,-0.006
1530,0,-0.012
1540,0,-0.012
1550,0,-0.012
1560,0,-0.006
1570,0,0.000
1580,0,-0.012
1590,0,-0.012
1600,0,-0.012
1610,0,-0.019
1620,0,0.000
1630,0,-0.012
1640,0,-0.006
1650,0,-0.019
1660,0,-0.006
1670,0,-0.012
1680,0,-0.012
1690,0,-0.012
1700,0,-0.012
1710,0,-0.012
1720,0,-0.006
1730,0,-0.012
1740,0,-0.019
1750,0,-0.012
1760,0,-0.019
1770,0,-0.012
1780,0,-0.006
1790,0,-0.012
1800,0,-0.019
1810,0,-0.012
1820,0,-0.012
1830,0,-0.012
1840,0,-0.025
1850,0,-0.025
1860,0,-0.019
1870,0,-0.025
1880,0,-0.019
1890,0,-0.012
1900,0,-0.019
1910,0,-0.019
1920,0,-0.012
1930,0,-0.019
1940,0,-0.019
1950,0,-0.031
1960,0,-0.019
1970,0,-0.025
1980,0,-0.019
1990,0,-0.012
2000,0,-0.019
2010,0,-0.019
2020,0,-0.025
2030,0,-0.019
2040,0,-0.025
2050,0,-0.025
2060,0,-0.025
2070,0,-0.031
2080,0,-0.019
2090,0,-0.019
2100,0,-0.025
2110,0,-0.019
2120,0,-0.025
2130,0,-0.019
2140,0,-0.019
2150,0,-0.025
2160,0,-0.006
2170,0,-0.019
2180,0,-0.019
2190,0,-0.019
2200,0,-0.019
2210,0,-0.025
2220,0,-0.025
2230,0,-0.019
2240,0,-0.019
2250,0,-0.025
2260,0,-0.019
2270,0,-0.019
2280,0,-0.019
2290,0,-0.019
2300,0,-0.019
2310,0,-0.019
2320,0,-0.019
2330,0,-0.025
2340,0,-0.025
2350,0,-0.019
2360,0,-0.012
2370,0,-0.019
2380,0,-0.019
2390,0,-0.019
2400,0,-0.025
2410,0,-0.019
2420,0,-0.019
2430,0,-0.025
2440,0,-0.019
2450,0,-0.019
2460,0,-0.019
2470,0,-0.019
2480,0,-0.019
2490,0,-0.012
2500,0,-0.025
2510,0,-0.019
2520,0,-0.019
2530,0,-0.019
2540,0,-0.019
2550,0,-0.019
2560,0,-0.019
2570,0,-0.025
2580,0,-0.025
2590,0,-0.019
2600,0,-0.025
2610,0,-0.012
2620,0,-0.019
2630,0,-0.025
2640,0,-0.019
2650,0,-0.019
2660,0,-0.019
2670,0,-0.019
2680,0,-0.025
2690,0,-0.019
2700,0,-0.019
