t_ms,PWM,Presion_kPa
10,0,-0.375
20,0,-0.400
30,0,-0.394
40,0,-0.394
50,0,-0.437
60,0,-0.381
70,0,-0.387
80,0,-0.381
90,0,-0.419
100,0,-0.412
110,0,-0.419
120,0,-0.462
130,0,-0.425
140,0,-0.431
150,0,-0.394
160,0,-0.375
170,0,-0.331
180,0,-0.362
190,0,-0.375
200,0,-0.344
210,0,-0.344
220,0,-0.300
230,0,-0.356
240,0,-0.331
250,0,-0.331
260,0,-0.350
270,0,-0.337
280,0,-0.319
290,0,-0.331
300,0,-0.256
310,0,-0.275
320,0,-0.269
330,0,-0.194
340,0,-0.200
350,0,-0.250
360,0,-0.231
370,0,-0.294
380,0,-0.256
390,0,-0.200
400,0,-0.187
410,0,-0.106
420,0,-0.162
430,0,-0.225
440,0,-0.269
450,0,-0.212
460,0,-0.169
470,0,-0.144
480,0,-0.200
490,0,-0.212
500,0,-0.200
510,0,-0.212
520,0,-0.219
530,0,-0.256
540,0,-0.281
550,0,-0.275
560,0,-0.262
570,0,-0.269
580,0,-0.225
590,0,-0.212
600,0,-0.262
610,0,-0.306
620,0,-0.256
630,0,-0.194
640,0,-0.212
650,0,-0.237
660,0,-0.237
670,0,-0.231
680,0,-0.262
690,0,-0.244
700,0,-0.281
710,0,-0.225
720,0,-0.187
730,0,-0.194
740,0,-0.187
750,0,-0.181
760,0,-0.244
770,0,-0.250
780,0,-0.281
790,0,-0.275
800,0,-0.287
810,0,-0.287
820,0,-0.256
830,0,-0.294
840,0,-0.269
850,0,-0.294
860,0,-0.256
870,0,-0.269
880,0,-0.294
890,0,-0.287
900,0,-0.287
910,0,-0.281
920,0,-0.256
930,0,-0.256
940,0,-0.269
950,0,-0.281
960,0,-0.262
970,0,-0.244
980,0,-0.244
990,0,-0.225
1000,0,-0.256
1010,0,-0.219
1020,0,-0.262
1030,0,-0.206
1040,0,-0.200
1050,0,-0.237
1060,0,-0.262
1070,0,-0.219
1080,0,-0.225
1090,0,-0.256
1100,0,-0.219
1110,0,-0.219
1120,0,-0.231
1130,0,-0.237
1140,0,-0.294
1150,0,-0.281
1160,0,-0.306
1170,0,-0.325
1180,0,-0.331
1190,0,-0.312
1200,0,-0.281
1210,0,-0.281
1220,0,-0.294
1230,0,-0.256
1240,0,-0.275
1250,0,-0.269
1260,0,-0.275
1270,0,-0.306
1280,0,-0.306
1290,0,-0.325
1300,0,-0.306
1310,0,-0.287
1320,0,-0.319
1330,0,-0.262
1340,0,-0.262
1350,0,-0.269
1360,0,-0.250
1370,0,-0.256
1380,0,-0.244
1390,0,-0.262
1400,0,-0.237
1410,0,-0.219
1420,0,-0.244
1430,0,-0.256
1440,0,-0.269
1450,0,-0.275
1460,0,-0.237
1470,0,-0.225
1480,0,-0.181
1490,0,-0.212
1500,0,-0.206
1510,0,-0.275
1520,0,-0.200
1530,0,-0.225
1540,0,-0.206
1550,0,-0.219
1560,0,-0.175
1570,0,-0.150
1580,0,-0.119
1590,0,-0.225
1600,0,-0.181
1610,0,-0.175
1620,0,-0.194
1630,0,-0.212
1640,0,-0.181
1650,0,-0.181
1660,0,-0.175
1670,0,-0.181
1680,0,-0.187
1690,0,-0.181
1700,0,-0.194
1710,0,-0.212
1720,0,-0.150
1730,0,-0.150
1740,0,-0.156
1750,0,-0.162
1760,0,-0.150
1770,0,-0.137
1780,0,-0.119
1790,0,-0.144
1800,0,-0.200
1810,0,-0.181
1820,0,-0.206
1830,0,-0.162
1840,0,-0.069
1850,0,-0.294
1860,0,-0.256
1870,0,-0.250
1880,0,-0.256
1890,0,-0.212
1900,0,-0.069
1910,0,-0.400
1920,0,-0.050
1930,0,-0.275
1940,0,-0.056
1950,0,-0.275
1960,0,-0.256
1970,0,-0.131
1980,0,-0.181
1990,0,-0.087
2000,0,-0.169
2010,0,-0.069
2020,0,-0.137
2030,0,-0.162
