t_ms,PWM,Presion_kPa
10,100,1.100
20,100,1.106
30,100,1.113
40,100,1.100
50,100,1.113
60,100,1.100
70,100,1.113
80,100,1.088
90,100,1.100
100,100,1.094
110,100,1.106
120,100,1.094
130,100,1.106
140,100,1.100
150,100,1.119
160,100,1.100
170,100,1.106
180,100,1.100
190,100,1.100
200,100,1.106
210,100,1.106
220,100,1.106
230,100,1.100
240,100,1.100
250,100,1.100
260,100,1.094
270,100,1.113
280,100,1.100
290,100,1.094
300,100,1.106
310,100,1.100
320,100,1.113
330,100,1.113
340,100,1.113
350,100,1.106
360,100,1.113
370,100,1.100
380,100,1.106
390,100,1.106
400,100,1.094
410,100,1.119
420,100,1.100
430,100,1.106
440,100,1.106
450,100,1.100
460,100,1.106
470,100,1.100
480,100,1.125
490,100,1.106
500,100,1.106
510,100,1.094
520,100,1.106
530,100,1.100
540,100,1.100
550,100,1.094
560,100,1.106
570,100,1.100
580,100,1.119
590,100,1.100
600,100,1.119
610,100,1.100
620,100,1.100
630,100,1.106
640,100,1.094
650,100,1.113
660,100,1.100
670,100,1.100
680,100,1.100
690,100,1.106
700,100,1.100
710,100,1.113
720,100,1.119
730,100,1.113
740,100,1.100
750,100,1.106
760,100,1.113
770,100,1.113
780,100,1.113
790,100,1.106
800,100,1.113
810,100,1.113
820,100,1.119
830,100,1.106
840,100,1.113
850,100,1.113
860,100,1.113
870,100,1.106
880,100,1.119
890,100,1.113
900,100,1.119
910,100,1.100
920,100,1.113
930,100,1.113
940,100,1.106
950,100,1.113
960,100,1.119
970,100,1.113
980,100,1.113
990,100,1.119
1000,100,1.100
1010,100,1.113
1020,100,1.113
1030,100,1.113
1040,100,1.100
1050,100,1.100
1060,100,1.106
1070,100,1.106
1080,100,1.106
1090,100,1.100
1100,100,1.106
1110,100,1.094
1120,100,1.100
1130,100,1.094
1140,100,1.094
1150,100,1.113
1160,100,1.100
1170,100,1.100
1180,100,1.094
1190,100,1.094
1200,100,1.100
1210,100,1.094
1220,100,1.094
1230,100,1.088
1240,100,1.100
1250,100,1.088
1260,100,1.106
1270,100,1.100
1280,100,1.100
1290,100,1.094
1300,100,1.094
1310,100,1.094
1320,100,1.088
1330,100,1.100
1340,100,1.094
1350,100,1.106
1360,100,1.100
1370,100,1.100
1380,100,1.094
1390,100,1.100
1400,100,1.094
1410,100,1.094
1420,100,1.088
1430,100,1.106
1440,100,1.094
1450,100,1.100
1460,100,1.100
1470,100,1.106
1480,100,1.106
1490,100,1.081
1500,100,1.081
1510,100,1.088
1520,100,1.081
1530,100,1.081
1540,100,1.081
1550,100,1.088
1560,100,1.088
1570,100,1.075
1580,100,1.081
1590,100,1.081
1600,100,1.088
1610,100,1.088
1620,100,1.088
1630,100,1.081
1640,100,1.081
1650,100,1.088
1660,100,1.100
1670,100,1.106
1680,100,1.113
1690,100,1.100
1700,100,1.094
1710,100,1.100
1720,100,1.106
1730,100,1.100
1740,100,1.100
1750,100,1.106
1760,100,1.081
1770,100,1.050
1780,100,1.038
1790,100,1.031
1800,100,1.038
1810,100,1.044
1820,100,1.038
1830,100,1.031
1840,100,1.038
1850,100,1.025
1860,100,1.025
1870,100,1.031
1880,100,1.025
1890,100,1.025
1900,100,1.025
1910,100,1.025
1920,100,1.025
1930,100,1.025
1940,100,1.031
1950,100,1.031
1960,100,1.031
1970,100,1.325
1980,100,1.519
1990,100,1.619
2000,100,1.344
2010,100,1.213
2020,100,1.669
2030,100,1.581
2040,100,1.075
2050,100,1.038
2060,100,0.769
2070,100,0.681
2080,100,0.800
2090,100,1.013
2100,100,1.175
2110,100,1.400
2120,100,0.963
2130,100,0.644
2140,100,1.131
2150,100,2.681
2160,100,2.725
2170,100,2.425
2180,100,0.994
2190,100,0.875
2200,100,0.856
2210,100,0.725
2220,100,0.625
2230,100,0.606
2240,100,0.631
2250,100,0.563
2260,100,0.563
2270,100,0.581
2280,100,0.613
2290,100,1.831
2300,100,0.369
2310,100,0.331
2320,100,0.313
2330,100,0.288
2340,100,0.344
2350,100,0.381
2360,100,0.350
2370,100,0.344
2380,100,0.319
2390,100,0.275
2400,100,0.700
2410,100,0.188
2420,100,0.094
2430,100,0.225
2440,100,0.138
2450,100,0.244
2460,100,0.281
2470,100,0.325
2480,100,0.331
2490,100,0.294
2500,100,0.256
2510,100,0.238
2520,100,0.231
2530,100,0.188
2540,100,0.150
2550,100,0.131
2560,100,0.144
2570,100,0.644
2580,100,0.544
2590,100,0.281
2600,100,0.506
2610,100,0.788
2620,100,2.488
2630,100,0.988
2640,100,0.831
2650,100,0.788
2660,100,0.744
2670,100,0.763
2680,100,0.638
2690,100,0.569
2700,100,0.563
2710,100,0.556
2720,100,0.544
2730,100,0.538
2740,100,0.538
2750,100,0.531
2760,100,0.538
2770,100,0.538
2780,100,0.531
2790,100,0.531
2800,100,0.500
2810,100,0.475
2820,100,0.463
2830,100,0.469
2840,100,0.469
2850,100,0.481
2860,100,0.481
2870,100,0.481
2880,100,0.475
2890,100,0.475
2900,100,0.488
2910,100,0.481
2920,100,0.469
2930,100,0.469
2940,100,0.469
2950,100,0.463
2960,100,0.469
2970,100,0.463
2980,100,0.463
2990,100,0.456
3000,100,0.444
3010,100,0.450
3020,100,0.438
3030,100,0.438
3040,100,0.450
3050,100,0.444
3060,100,0.438
3070,100,0.444
3080,100,0.444
3090,100,0.425
3100,100,0.438
3110,100,0.438
3120,100,0.438
3130,100,0.444
3140,100,0.444
3150,100,0.431
3160,100,0.431
3170,100,0.425
3180,100,0.425
3190,100,0.431
3200,100,0.425
3210,100,0.419
3220,100,0.425
3230,100,0.425
3240,100,0.419
3250,100,0.419
3260,100,0.419
3270,100,0.413
3280,100,0.406
3290,100,0.413
3300,100,0.419
3310,100,0.419
3320,100,0.419
3330,100,0.419
3340,100,0.419
3350,100,0.419
3360,100,0.413
3370,100,0.406
3380,100,0.406
3390,100,0.406
3400,100,0.413
3410,100,0.413
3420,100,0.413
3430,100,0.413
3440,100,0.413
3450,100,0.413
3460,100,0.413
3470,100,0.413
3480,100,0.431
3490,100,0.413
3500,100,0.413
3510,100,0.406
3520,100,0.406
3530,100,0.406
3540,100,0.406
3550,100,0.394
3560,100,0.406
3570,100,0.406
3580,100,0.406
3590,100,0.406
3600,100,0.413
3610,100,0.406
3620,100,0.413
3630,100,0.406
3640,100,0.413
3650,100,0.406
3660,100,0.413
3670,100,0.406
3680,100,0.413
3690,100,0.413
3700,100,0.413
3710,100,0.419
3720,100,0.413
3730,100,0.413
3740,100,0.413
3750,100,0.413
3760,100,0.413
3770,100,0.413
3780,100,0.419
3790,100,0.431
3800,100,0.425
3810,100,0.438
3820,100,0.425
3830,100,0.419
3840,100,0.419
3850,100,0.425
3860,100,0.425
3870,100,0.425
3880,100,0.419
3890,100,0.419
3900,100,0.425
3910,100,0.419
3920,100,0.419
3930,100,0.419
3940,100,0.419
3950,100,0.419
3960,100,0.419
3970,100,0.425
3980,100,0.419
3990,100,0.413
4000,100,0.413
4010,100,0.419
4020,100,0.413
4030,100,0.413
4040,100,0.419
4050,100,0.413
4060,100,0.419
4070,100,0.413
4080,100,0.413
4090,100,0.413
4100,100,0.406
4110,100,0.406
4120,100,0.413
4130,100,0.406
4140,100,0.413
4150,100,0.413
4160,100,0.413
4170,100,0.406
4180,100,0.419
4190,100,0.406
4200,100,0.406
4210,100,0.400
