t_ms,PWM,Presion_kPa
10,0,-1.231
20,0,-1.387
30,0,-1.425
40,0,-1.500
50,0,-1.387
60,0,-1.419
70,0,-1.475
80,0,-1.406
90,0,-1.537
100,0,-1.412
110,0,-1.306
120,0,-1.375
130,0,-1.312
140,0,-1.381
150,0,-1.381
160,0,-1.287
170,0,-1.362
180,0,-1.462
190,0,-1.475
200,0,-1.550
210,0,-1.619
220,0,-1.875
230,0,-1.687
240,0,-1.419
250,0,-1.369
260,0,-1.312
270,0,-1.275
280,0,-1.181
290,0,-1.156
300,0,-1.200
310,0,-1.231
320,0,-1.144
330,0,-1.194
340,0,-1.306
350,0,-1.344
360,0,-1.306
370,0,-1.419
380,0,-1.456
390,0,-1.419
400,0,-1.325
410,0,-1.456
420,0,-1.606
430,0,-1.725
440,0,-28.162
450,0,-1.144
460,0,-1.200
470,0,-1.181
480,0,-1.194
490,0,-1.200
500,0,-1.262
510,0,-1.337
520,0,-1.312
530,0,-1.387
540,0,-1.344
550,0,-1.312
560,0,-1.294
570,0,-1.281
580,0,-1.306
590,0,-1.450
600,0,-1.731
610,0,-1.794
620,0,-1.506
630,0,-1.300
640,0,-1.375
650,0,-1.412
660,0,-1.794
670,0,-1.581
680,0,-1.681
690,0,-1.431
700,0,-1.181
710,0,-1.231
720,0,-1.294
730,0,-1.394
740,0,-1.337
750,0,-1.319
760,0,-1.381
770,0,-1.281
780,0,-1.106
790,0,-1.462
800,0,-1.875
810,0,-2.044
820,0,-2.050
830,0,-2.106
840,0,-2.037
850,0,-1.825
860,0,-1.269
870,0,-1.219
880,0,-1.287
890,0,-1.531
900,0,-1.612
910,0,-1.619
920,0,-1.844
930,0,-1.956
940,0,-2.000
950,0,-2.025
960,0,-2.031
970,0,-2.006
980,0,-2.050
990,0,-2.025
1000,0,-2.081
1010,0,-2.162
1020,0,-2.150
1030,0,-2.150
1040,0,-2.125
1050,0,-2.294
1060,0,-1.956
1070,0,-2.087
1080,0,-2.219
1090,0,-2.237
1100,0,-2.225
1110,0,-2.169
1120,0,-2.187
1130,0,-2.044
1140,0,-2.062
1150,0,-2.037
1160,0,-2.144
1170,0,-2.150
1180,0,-1.950
1190,0,-2.112
1200,0,-2.025
1210,0,-1.887
1220,0,-1.937
1230,0,-2.181
1240,0,-2.281
1250,0,-2.637
1260,0,-2.275
1270,0,-2.375
1280,0,-2.381
1290,0,-2.619
1300,0,-4.437
1310,0,-1.269
1320,0,-1.344
1330,0,-1.456
1340,0,-1.600
1350,0,-1.700
1360,0,-1.662
1370,0,-1.687
1380,0,-1.650
1390,0,-1.550
1400,0,-1.444
1410,0,-1.494
1420,0,-1.425
1430,0,-1.219
1440,0,-1.187
1450,0,-1.200
1460,0,-1.287
1470,0,-1.231
1480,0,-1.150
1490,0,-1.181
1500,0,-1.162
1510,0,-1.206
1520,0,-1.250
1530,0,-1.250
1540,0,-1.275
1550,0,-1.344
1560,0,-1.425
1570,0,-1.525
1580,0,-1.312
1590,0,-1.231
1600,0,-1.194
1610,0,-1.206
1620,0,-1.269
1630,0,-1.269
1640,0,-1.312
1650,0,-1.356
1660,0,-1.369
1670,0,-1.344
1680,0,-1.331
1690,0,-1.337
1700,0,-1.344
1710,0,-1.312
1720,0,-1.469
1730,0,-2.181
1740,0,-2.012
1750,0,-1.856
1760,0,-1.381
1770,0,-1.162
1780,0,-1.194
1790,0,-1.244
1800,0,-1.469
1810,0,-1.950
1820,0,-2.156
1830,0,-2.150
1840,0,-2.106
1850,0,-1.794
1860,0,-1.456
1870,0,-1.544
1880,0,-1.544
1890,0,-1.437
1900,0,-1.256
1910,0,-1.206
1920,0,-1.237
1930,0,-1.331
1940,0,-1.525
1950,0,-1.544
1960,0,-1.894
1970,0,-1.900
1980,0,-1.694
1990,0,-1.556
2000,0,-1.306
2010,0,-1.287
2020,0,-1.350
2030,0,-1.450
2040,0,-1.456
2050,0,-1.600
2060,0,-1.512
2070,0,-1.519
2080,0,-1.425
2090,0,-1.387
2100,0,-1.394
2110,0,-1.550
2120,0,-1.756
2130,0,-1.912
2140,0,-1.962
2150,0,-1.950
2160,0,-1.900
2170,0,-2.050
2180,0,-2.075
2190,0,-2.237
2200,0,-2.306
2210,0,-1.975
2220,0,-2.081
2230,0,-2.219
2240,0,-1.831
2250,0,-1.744
2260,0,-1.656
2270,0,-1.487
2280,0,-1.325
2290,0,-1.337
2300,0,-1.400
2310,0,-1.250
2320,0,-1.537
2330,0,-1.787
2340,0,-1.800
2350,0,-1.794
2360,0,-1.506
2370,0,-1.581
2380,0,-1.887
2390,0,-1.906
2400,0,-1.962
2410,0,-2.062
2420,0,-1.975
2430,0,-1.812
2440,0,-1.787
2450,0,-1.619
2460,0,-1.712
2470,0,-1.669
2480,0,-1.550
2490,0,-1.562
2500,0,-1.694
2510,0,-1.706
2520,0,-1.700
2530,0,-1.612
2540,0,-1.637
2550,0,-1.469
2560,0,-1.412
2570,0,-1.344
2580,0,-1.450
2590,0,-1.819
2600,0,-1.694
2610,0,-1.469
2620,0,-1.312
2630,0,-1.800
2640,0,-1.925
2650,0,-1.931
2660,0,-1.794
2670,0,-1.812
2680,0,-1.944
2690,0,-1.900
2700,0,-1.850
2710,0,-1.887
2720,0,-1.937
2730,0,-2.144
2740,0,-2.444
2750,0,-14.819
2760,0,-36.881
2770,0,-2.150
2780,0,-2.019
2790,0,-2.019
2800,0,-2.081
2810,0,-1.937
2820,0,-1.994
2830,0,-2.000
2840,0,-1.994
2850,0,-2.000
2860,0,-1.969
2870,0,-1.987
2880,0,-1.987
2890,0,-2.000
2900,0,-2.012
2910,0,-2.025
2920,0,-2.025
2930,0,-2.025
2940,0,-2.081
2950,0,-2.044
2960,0,-2.062
2970,0,-2.081
2980,0,-2.150
2990,0,-1.994
3000,0,-1.969
3010,0,-2.044
3020,0,-2.050
3030,0,-2.062
3040,0,-2.094
3050,0,-2.100
3060,0,-2.131
3070,0,-2.081
3080,0,-2.069
3090,0,-2.094
3100,0,-2.137
3110,0,-2.087
3120,0,-2.094
3130,0,-2.106
3140,0,-2.081
3150,0,-2.169
3160,0,-2.187
3170,0,-2.200
3180,0,-2.187
3190,0,-2.131
3200,0,-2.106
3210,0,-2.131
3220,0,-2.169
3230,0,-2.219
3240,0,-2.200
3250,0,-2.150
3260,0,-2.181
3270,0,-2.181
3280,0,-2.206
3290,0,-2.306
3300,0,-2.244
3310,0,-2.187
3320,0,-2.325
3330,0,-2.294
3340,0,-2.262
3350,0,-2.275
3360,0,-2.244
3370,0,-2.244
3380,0,-2.237
3390,0,-2.262
3400,0,-2.262
3410,0,-2.262
3420,0,-2.306
3430,0,-2.319
3440,0,-2.319
3450,0,-2.294
3460,0,-2.275
3470,0,-2.175
3480,0,-2.344
3490,0,-2.244
3500,0,-2.219
3510,0,-2.344
3520,0,-2.356
3530,0,-2.275
3540,0,-2.369
3550,0,-2.281
3560,0,-2.375
3570,0,-2.394
3580,0,-2.344
3590,0,-2.362
3600,0,-2.319
3610,0,-2.387
3620,0,-2.394
3630,0,-2.431
3640,0,-2.419
3650,0,-2.444
3660,0,-2.462
3670,0,-2.487
3680,0,-2.519
3690,0,-2.469
3700,0,-2.494
3710,0,-2.500
3720,0,-2.487
3730,0,-2.487
3740,0,-2.487
3750,0,-2.481
3760,0,-2.531
3770,0,-2.606
3780,0,-2.531
3790,0,-2.506
3800,0,-2.512
3810,0,-2.487
3820,0,-2.494
3830,0,-2.512
3840,0,-2.481
3850,0,-2.506
3860,0,-2.537
3870,0,-2.531
3880,0,-2.500
3890,0,-2.500
3900,0,-2.525
3910,0,-2.512
3920,0,-2.525
3930,0,-2.525
3940,0,-2.506
3950,0,-2.494
3960,0,-2.531
3970,0,-2.525
3980,0,-2.556
3990,0,-2.469
4000,0,-2.506
4010,0,-2.462
4020,0,-2.494
4030,0,-2.544
4040,0,-2.562
4050,0,-2.550
4060,0,-2.544
4070,0,-2.550
4080,0,-2.525
4090,0,-2.544
4100,0,-2.469
4110,0,-2.437
4120,0,-2.400
4130,0,-2.394
4140,0,-2.437
4150,0,-2.481
4160,0,-2.419
4170,0,-2.394
4180,0,-2.350
4190,0,-2.294
4200,0,-2.325
4210,0,-2.425
4220,0,-2.456
4230,0,-2.487
4240,0,-2.469
4250,0,-2.475
4260,0,-2.531
4270,0,-2.444
4280,0,-2.425
4290,0,-2.456
4300,0,-2.462
4310,0,-2.437
4320,0,-2.469
4330,0,-2.481
4340,0,-2.462
4350,0,-2.450
4360,0,-2.469
4370,0,-2.406
4380,0,-2.475
4390,0,-2.512
4400,0,-2.581
4410,0,-2.531
4420,0,-2.525
4430,0,-2.512
4440,0,-2.550
4450,0,-2.481
4460,0,-2.412
4470,0,-2.519
4480,0,-2.494
4490,0,-2.475
4500,0,-2.487
4510,0,-2.544
4520,0,-2.500
4530,0,-2.575
4540,0,-2.525
4550,0,-2.487
4560,0,-2.656
4570,0,-2.575
4580,0,-2.619
4590,0,-2.656
4600,0,-2.569
4610,0,-2.506
4620,0,-2.494
4630,0,-2.512
4640,0,-2.550
4650,0,-2.619
4660,0,-2.656
4670,0,-2.650
4680,0,-2.587
4690,0,-2.575
4700,0,-2.625
4710,0,-2.625
4720,0,-2.556
4730,0,-2.575
4740,0,-2.631
4750,0,-2.656
4760,0,-2.675
4770,0,-2.681
4780,0,-2.681
4790,0,-2.675
4800,0,-2.650
4810,0,-2.694
4820,0,-2.687
4830,0,-2.662
4840,0,-2.612
4850,0,-2.544
4860,0,-2.525
4870,0,-2.612
4880,0,-2.569
4890,0,-2.569
4900,0,-2.587
4910,0,-2.669
4920,0,-2.694
4930,0,-2.681
4940,0,-2.694
4950,0,-2.706
4960,0,-2.719
4970,0,-2.700
4980,0,-2.731
4990,0,-2.744
5000,0,-2.700
5010,180,-2.750
5020,180,-2.519
5030,180,-2.744
5040,180,-0.844
5050,180,3.606
5060,180,7.850
5070,180,12.413
5080,180,16.638
5090,180,20.400
5100,180,23.456
5110,180,26.494
5120,180,28.956
5130,180,31.063
5140,180,33.213
5150,180,34.750
5160,180,36.300
5170,180,37.706
5180,180,39.206
5190,180,40.050
5200,180,40.975
5210,180,41.900
5220,180,42.538
5230,180,43.269
5240,180,43.856
5250,180,44.494
5260,180,45.075
5270,180,45.375
5280,180,45.763
5290,180,46.231
5300,180,46.563
5310,180,46.813
5320,180,47.031
5330,180,47.163
5340,180,47.369
5350,180,47.619
5360,180,47.825
5370,180,48.069
5380,180,48.175
5390,180,48.306
5400,180,48.488
5410,180,48.606
5420,180,48.644
5430,180,48.806
5440,180,48.856
5450,180,48.775
5460,180,48.731
5470,180,48.700
5480,180,48.656
5490,180,48.706
5500,180,48.738
5510,180,48.825
5520,180,48.850
5530,180,48.844
5540,180,48.800
5550,180,48.938
5560,180,48.900
5570,180,48.963
5580,180,48.925
5590,180,48.800
5600,180,48.838
5610,180,48.925
5620,180,48.869
5630,180,48.863
5640,180,48.838
5650,180,48.856
5660,180,48.869
5670,180,48.725
5680,180,48.794
5690,180,48.900
5700,180,48.863
5710,180,48.875
5720,180,48.819
5730,180,49.106
5740,180,49.100
5750,180,49.075
5760,180,48.981
5770,180,48.931
5780,180,48.919
5790,180,48.819
5800,180,48.569
5810,180,48.431
5820,180,48.394
5830,180,48.244
5840,180,48.288
5850,180,48.369
5860,180,48.150
5870,180,48.150
5880,180,48.163
5890,180,48.119
5900,180,48.069
5910,180,48.319
5920,180,48.306
5930,180,48.350
5940,180,48.400
5950,180,48.394
5960,180,48.275
5970,180,48.300
5980,180,48.206
5990,180,48.094
6000,180,48.069
6010,180,48.069
6020,180,48.138
6030,180,48.119
6040,180,47.938
6050,180,48.031
6060,180,47.988
6070,180,47.931
6080,180,47.863
6090,180,47.931
6100,180,47.731
6110,180,47.750
6120,180,47.813
6130,180,47.900
6140,180,47.775
6150,180,47.850
6160,180,47.725
6170,180,47.731
6180,180,47.425
6190,180,49.806
6200,180,49.619
6210,180,49.500
6220,180,49.456
6230,180,49.281
6240,180,49.294
6250,180,49.294
6260,180,49.325
6270,180,49.138
6280,180,49.044
6290,180,49.019
6300,180,48.938
6310,180,48.944
6320,180,48.881
6330,180,48.806
6340,180,48.781
6350,180,48.713
6360,180,48.556
6370,180,48.500
6380,180,48.363
6390,180,48.350
6400,180,48.319
6410,180,48.269
6420,180,48.344
6430,180,48.238
6440,180,48.181
6450,180,48.169
6460,180,48.119
6470,180,48.194
6480,180,48.019
6490,180,47.969
6500,180,47.975
6510,180,48.000
6520,180,48.038
6530,180,47.963
6540,180,47.981
6550,180,47.831
6560,180,47.806
6570,180,47.731
6580,180,47.638
6590,180,47.425
6600,180,47.000
6610,180,47.119
6620,180,49.175
6630,180,49.356
6640,180,49.038
6650,180,48.706
6660,180,48.638
6670,180,48.775
6680,180,48.863
6690,180,48.413
6700,180,49.238
6710,180,48.700
6720,180,48.419
6730,180,48.288
6740,180,48.500
6750,180,48.294
6760,180,48.244
6770,180,48.006
6780,180,48.175
6790,180,48.206
6800,180,47.888
6810,180,48.475
6820,180,48.369
6830,180,48.513
6840,180,48.194
6850,180,47.688
6860,180,48.144
6870,180,48.094
6880,180,47.825
6890,180,49.181
6900,180,48.881
6910,180,48.794
6920,180,48.881
6930,180,48.831
6940,180,48.181
6950,180,48.075
6960,180,48.400
6970,180,48.169
6980,180,48.100
6990,180,48.519
7000,180,48.288
7010,180,48.175
7020,180,48.100
7030,180,48.163
7040,180,48.456
7050,180,48.156
7060,180,47.769
7070,180,48.000
7080,180,47.869
7090,180,47.988
7100,180,47.750
7110,180,47.975
7120,180,48.094
7130,180,47.994
7140,180,47.844
7150,180,49.494
7160,180,49.481
7170,180,49.588
7180,180,49.663
7190,180,49.619
7200,180,49.669
7210,180,49.463
7220,180,49.281
7230,180,49.369
7240,180,49.200
7250,180,49.119
7260,180,49.150
7270,180,49.213
7280,180,49.238
7290,180,49.250
7300,180,49.113
7310,180,49.181
7320,180,49.163
7330,180,49.144
7340,180,48.925
7350,180,49.038
7360,180,48.819
7370,180,48.856
7380,180,48.794
7390,180,48.494
7400,180,48.444
7410,180,48.456
7420,180,48.469
7430,180,48.431
7440,180,48.344
7450,180,48.381
7460,180,48.256
7470,180,48.856
7480,180,48.725
7490,180,48.406
7500,180,48.225
7510,180,48.750
7520,180,48.463
7530,180,48.763
7540,180,48.225
7550,180,48.800
7560,180,48.200
7570,180,48.600
7580,180,48.313
7590,180,48.319
7600,180,48.463
7610,180,48.494
