t_ms,PWM,Presion_kPa
10094,0,-5.656
10144,0,-5.741
10194,0,-5.544
10244,0,-5.816
10294,0,-5.891
10344,0,-5.788
10394,0,-5.703
10444,0,-5.712
10494,0,-5.759
10544,0,-5.684
10594,0,-5.703
10644,0,-5.516
10694,0,-5.525
10744,0,-5.628
10794,0,-5.488
10844,0,-5.581
10894,0,-5.544
10944,0,-5.469
10994,0,-5.441
11044,0,-5.581
11094,0,-5.581
11144,0,-5.469
11194,0,-5.422
11244,0,-5.225
11294,0,-5.262
11344,0,-5.225
11394,0,-5.356
11444,0,-5.338
11494,0,-5.412
11544,0,-5.309
11594,0,-5.084
11644,0,-5.103
11694,0,-5.056
11744,0,-4.981
11794,0,-5.009
11844,0,-5.028
11894,0,-5.103
11944,0,-5.103
11994,0,-5.150
12044,0,-5.084
12094,0,-5.103
12144,0,-5.066
12194,0,-5.019
12244,0,-5.047
12294,0,-5.066
12344,0,-4.953
12394,0,-4.953
12444,0,-4.878
12494,0,-4.887
12544,0,-4.859
12594,0,-4.869
12644,0,-4.700
12694,0,-4.794
12744,0,-4.916
12794,0,-4.887
12844,0,-4.803
12894,0,-4.813
12944,0,-4.794
12994,0,-4.775
13044,0,-4.831
13094,0,-4.841
13144,0,-4.784
13194,0,-4.784
13244,0,-4.831
13294,0,-4.794
13344,0,-4.841
13394,0,-4.822
13444,0,-4.850
13494,0,-4.869
13544,0,-5.000
13594,0,-5.075
13644,0,-5.084
13694,0,-5.066
13744,0,-5.131
13794,0,-5.178
13844,0,-5.216
13894,0,-5.234
13944,0,-5.234
13994,0,-5.478
14044,0,-5.506
14094,0,-5.488
14144,0,-5.534
14194,0,-5.666
14244,0,-5.516
14294,0,-5.619
14344,0,-5.703
14394,0,-5.825
14444,0,-5.872
14494,0,-5.975
14544,0,-5.947
14594,0,-5.881
14644,0,-5.778
14694,0,-5.984
14744,0,-6.031
14794,0,-5.900
14844,0,-5.984
14894,0,-5.947
14944,0,-5.881
14994,0,-5.966
15044,5,-5.956
15094,5,-5.872
15144,5,-5.778
15194,5,-5.750
15244,5,-5.825
15294,5,-5.769
15344,5,-5.806
15394,5,-5.825
15444,5,-5.844
15494,5,-5.891
15544,5,-5.825
15594,5,-5.825
15644,5,-5.778
15694,5,-5.872
15744,5,-5.844
15794,5,-5.928
15844,5,-6.012
15894,5,-6.069
15944,5,-6.134
15994,5,-6.219
16044,5,-6.172
16094,5,-6.153
16144,5,-6.256
16194,5,-6.228
16244,5,-6.219
16294,5,-6.181
16344,5,-6.266
16394,5,-6.275
16444,5,-6.406
16494,5,-6.463
16544,5,-6.509
16594,5,-6.725
16644,5,-6.706
16694,5,-6.584
16744,5,-6.716
16794,5,-6.687
16844,5,-6.687
16894,5,-6.706
16944,5,-6.716
16994,5,-6.556
17044,5,-6.472
17094,5,-6.472
17144,5,-6.463
17194,5,-6.378
17244,5,-6.481
17294,5,-6.463
17344,5,-6.472
17394,5,-6.237
17444,5,-6.078
17494,5,-6.059
17544,5,-6.003
17594,5,-6.087
17644,5,-6.134
17694,5,-6.134
17744,5,-6.050
17794,5,-6.078
17844,5,-6.059
17894,5,-6.050
17944,5,-6.087
17994,5,-6.134
18044,5,-6.125
18094,5,-6.031
18144,5,-5.891
18194,5,-6.003
18244,5,-5.928
18294,5,-5.872
18344,5,-5.956
18394,5,-5.947
18444,5,-5.909
18494,5,-5.853
18544,5,-5.769
18594,5,-5.731
18644,5,-5.741
18694,5,-5.684
18744,5,-5.731
18794,5,-5.741
18844,5,-5.741
18894,5,-5.741
18944,5,-5.750
18994,5,-5.722
19044,5,-5.722
19094,5,-5.675
19144,5,-5.656
19194,5,-5.638
19244,5,-5.609
19294,5,-5.609
19344,5,-5.591
19394,5,-5.581
19444,5,-5.581
19494,5,-5.516
19544,5,-5.562
19594,5,-5.553
19644,5,-5.562
19694,5,-5.516
19744,5,-5.544
19794,5,-5.581
19844,5,-5.441
19894,5,-5.272
19944,5,-5.187
19994,5,-5.262
20044,10,-5.281
20094,10,-5.309
20144,10,-5.272
20194,10,-5.309
20244,10,-5.366
20294,10,-5.356
20344,10,-5.366
20394,10,-5.488
20444,10,-5.469
20494,10,-5.534
20544,10,-5.525
20594,10,-5.581
20644,10,-5.553
20694,10,-5.562
20744,10,-5.544
20794,10,-5.553
20844,10,-5.506
20894,10,-5.619
20944,10,-5.666
20994,10,-5.675
21044,10,-5.722
21094,10,-5.712
21144,10,-5.712
21194,10,-5.656
21244,10,-5.684
21294,10,-5.656
21344,10,-5.712
21394,10,-5.694
21444,10,-5.750
21494,10,-5.741
21544,10,-5.731
21594,10,-5.769
21644,10,-5.750
