t_ms,PWM,Presion_kPa
10094,0,-7.625
10144,0,-7.662
10194,0,-7.662
10244,0,-7.681
10294,0,-7.653
10344,0,-7.662
10394,0,-7.662
10444,0,-7.691
10494,0,-7.700
10544,0,-7.728
10594,0,-7.700
10644,0,-7.728
10694,0,-7.756
10744,0,-7.794
10794,0,-7.784
10844,0,-7.812
10894,0,-7.822
10944,0,-7.850
10994,0,-7.869
11044,0,-7.916
11094,0,-7.934
11144,0,-7.972
11194,0,-8.000
11244,0,-8.056
11294,0,-8.084
11344,0,-8.169
11394,0,-8.394
11444,0,-9.959
11494,0,-9.950
11544,0,-10.006
11594,0,-10.081
11644,0,-10.419
11694,0,-11.581
11744,0,-11.825
11794,0,-14.319
11844,0,-18.547
11894,0,-19.081
11944,0,-20.300
11994,0,-22.438
12044,0,-21.078
12094,0,-20.862
12144,0,-20.900
12194,0,-21.097
12244,0,-21.247
12294,0,-21.416
12344,0,-21.669
12394,0,-21.997
12444,0,-22.325
12494,0,-22.391
12544,0,-22.822
12594,0,-23.263
12644,0,-21.519
12694,0,-21.350
12744,0,-21.144
12794,0,-20.900
12844,0,-20.984
12894,0,-21.050
12944,0,-21.003
12994,0,-21.059
13044,0,-21.069
13094,0,-21.181
13144,0,-21.162
13194,0,-21.219
13244,0,-21.284
13294,0,-21.378
13344,0,-21.444
13394,0,-21.519
13444,0,-21.744
13494,0,-21.828
13544,0,-22.016
13594,0,-22.063
13644,0,-22.362
13694,0,-22.747
13744,0,-22.953
13794,0,-22.916
13844,0,-23.366
13894,0,-23.881
13944,0,-24.481
13994,0,-24.894
14044,0,-25.859
14094,0,-26.478
14144,0,-27.734
14194,0,-29.844
14244,0,-9.256
14294,0,-9.003
14344,0,-8.994
14394,0,-8.984
14444,0,-9.003
14494,0,-9.012
14544,0,-8.975
14594,0,-8.956
14644,0,-9.106
14694,0,-9.162
14744,0,-9.219
14794,0,-9.303
14844,0,-9.509
14894,0,-9.734
14944,0,-10.016
14994,0,-10.316
15044,5,-11.703
15094,5,-19.897
15144,5,-9.144
15194,5,-9.125
15244,5,-9.041
15294,5,-8.984
15344,5,-9.069
15394,5,-9.106
15444,5,-9.162
15494,5,-9.172
15544,5,-9.275
15594,5,-9.341
15644,5,-9.491
15694,5,-9.537
15744,5,-9.725
15794,5,-9.913
15844,5,-10.119
15894,5,-10.241
15944,5,-10.569
15994,5,-10.747
16044,5,-11.413
16094,5,-12.069
16144,5,-17.544
16194,5,-8.694
16244,5,-8.591
16294,5,-8.562
16344,5,-8.637
16394,5,-8.572
16444,5,-8.591
16494,5,-8.628
16544,5,-8.628
16594,5,-8.694
16644,5,-8.788
16694,5,-8.788
16744,5,-8.853
16794,5,-8.928
16844,5,-9.031
16894,5,-9.219
16944,5,-9.378
16994,5,-9.584
17044,5,-10.128
17094,5,-16.259
17144,5,-9.444
17194,5,-10.438
17244,5,-9.331
17294,5,-9.172
17344,5,-9.097
17394,5,-9.069
17444,5,-9.050
17494,5,-9.003
17544,5,-9.012
17594,5,-8.984
17644,5,-8.975
17694,5,-8.947
17744,5,-8.956
17794,5,-8.919
17844,5,-8.928
17894,5,-8.919
17944,5,-8.919
17994,5,-8.947
18044,5,-8.938
18094,5,-8.919
18144,5,-8.928
18194,5,-8.919
18244,5,-8.928
18294,5,-8.919
18344,5,-8.919
18394,5,-8.900
18444,5,-8.919
18494,5,-8.919
18544,5,-8.919
18594,5,-8.909
18644,5,-8.909
18694,5,-8.900
18744,5,-8.891
18794,5,-8.872
18844,5,-8.900
18894,5,-8.872
18944,5,-8.853
18994,5,-8.862
19044,5,-8.862
19094,5,-8.853
19144,5,-8.862
19194,5,-8.844
19244,5,-8.853
19294,5,-8.853
19344,5,-8.844
19394,5,-8.825
19444,5,-8.834
19494,5,-8.797
19544,5,-8.816
19594,5,-8.778
19644,5,-8.778
19694,5,-8.769
19744,5,-8.759
19794,5,-8.759
19844,5,-8.769
19894,5,-8.778
19944,5,-8.769
19994,5,-8.759
20044,10,-8.769
20094,10,-8.731
20144,10,-8.722
20194,10,-8.694
20244,10,-8.731
20294,10,-8.712
20344,10,-8.731
20394,10,-8.694
20444,10,-8.712
20494,10,-8.694
20544,10,-8.722
20594,10,-8.703
20644,10,-8.712
20694,10,-8.666
20744,10,-8.722
20794,10,-8.656
20844,10,-8.675
20894,10,-8.675
20944,10,-8.684
20994,10,-8.675
21044,10,-8.694
21094,10,-8.637
21144,10,-8.666
21194,10,-8.656
21244,10,-8.647
21294,10,-8.609
21344,10,-8.675
21394,10,-8.656
21444,10,-8.637
21494,10,-8.609
21544,10,-8.656
21594,10,-8.619
21644,10,-8.637
21694,10,-8.591
21744,10,-8.619
21794,10,-8.600
21844,10,-8.619
21894,10,-8.572
21944,10,-8.591
21994,10,-8.562
22044,10,-8.591
