t_ms,PWM,Presion_kPa
10094,0,1.356
10144,0,1.272
10194,0,1.281
10244,0,1.272
10294,0,1.272
10344,0,1.281
10394,0,1.291
10444,0,1.338
10494,0,1.300
10544,0,1.281
10594,0,1.291
10644,0,1.338
10694,0,1.347
10744,0,1.347
10794,0,1.328
10844,0,1.262
10894,0,1.262
10944,0,1.272
10994,0,1.281
11044,0,1.291
11094,0,1.262
11144,0,1.262
11194,0,1.234
11244,0,1.253
11294,0,1.272
11344,0,1.281
11394,0,1.262
11444,0,1.262
11494,0,1.272
11544,0,1.253
11594,0,1.281
11644,0,1.253
11694,0,1.253
11744,0,1.225
11794,0,1.234
11844,0,1.244
11894,0,1.262
11944,0,1.253
11994,0,1.253
12044,0,1.253
12094,0,1.253
12144,0,1.262
12194,0,1.253
12244,0,1.244
12294,0,1.262
12344,0,1.281
12394,0,1.244
12444,0,1.272
12494,0,1.300
12544,0,1.281
12594,0,1.291
12644,0,1.262
12694,0,1.225
12744,0,1.234
12794,0,1.253
12844,0,1.225
12894,0,1.225
12944,0,1.234
12994,0,1.244
13044,0,1.188
13094,0,1.216
13144,0,1.178
13194,0,1.188
13244,0,1.169
13294,0,1.141
13344,0,1.169
13394,0,1.178
13444,0,1.188
13494,0,1.169
13544,0,1.178
13594,0,1.188
13644,0,1.188
13694,0,1.159
13744,0,1.169
13794,0,1.141
13844,0,1.112
13894,0,1.103
13944,0,1.112
13994,0,1.103
14044,0,1.103
14094,0,1.103
14144,0,1.112
14194,0,1.112
14244,0,1.103
14294,0,1.094
14344,0,1.047
14394,0,1.075
14444,0,1.047
14494,0,1.038
14544,0,1.019
14594,0,1.038
14644,0,1.047
14694,0,1.066
14744,0,1.066
14794,0,1.056
14844,0,1.009
14894,0,1.056
14944,0,1.009
14994,0,1.075
15044,5,0.972
15094,5,1.056
15144,5,1.112
15194,5,1.112
15244,5,1.122
15294,5,1.159
15344,5,1.131
15394,5,1.103
15444,5,1.094
15494,5,1.103
15544,5,1.084
15594,5,1.094
15644,5,0.953
15694,5,0.981
15744,5,0.953
15794,5,0.962
15844,5,0.953
15894,5,0.934
15944,5,0.944
15994,5,0.972
16044,5,0.972
16094,5,0.953
16144,5,0.972
16194,5,0.962
16244,5,0.981
16294,5,0.953
16344,5,0.925
16394,5,0.916
16444,5,0.925
16494,5,0.878
16544,5,0.906
16594,5,0.944
16644,5,0.934
16694,5,0.925
16744,5,0.962
16794,5,0.962
16844,5,0.991
16894,5,0.991
16944,5,0.981
16994,5,0.869
17044,5,0.878
17094,5,0.878
17144,5,0.850
17194,5,0.878
17244,5,0.859
17294,5,0.859
17344,5,0.878
17394,5,0.869
17444,5,0.841
17494,5,0.869
17544,5,0.850
17594,5,0.850
17644,5,0.869
17694,5,0.841
17744,5,0.859
17794,5,0.916
17844,5,0.859
17894,5,0.869
17944,5,0.850
17994,5,0.850
18044,5,0.850
18094,5,0.869
18144,5,0.822
18194,5,0.850
18244,5,0.813
18294,5,0.831
18344,5,0.869
18394,5,0.831
18444,5,0.850
18494,5,0.841
18544,5,0.841
18594,5,0.869
18644,5,0.850
18694,5,0.822
18744,5,0.784
18794,5,0.794
18844,5,0.784
18894,5,0.794
18944,5,0.775
18994,5,0.775
19044,5,0.784
19094,5,0.784
19144,5,0.850
19194,5,0.775
19244,5,0.775
19294,5,0.813
19344,5,0.813
19394,5,0.803
19444,5,0.784
19494,5,0.775
19544,5,0.747
19594,5,0.784
19644,5,0.756
19694,5,0.784
19744,5,0.766
19794,5,0.766
19844,5,0.719
19894,5,0.756
19944,5,0.738
19994,5,0.756
20044,10,0.700
20094,10,0.700
20144,10,0.709
20194,10,0.691
20244,10,0.709
20294,10,0.691
20344,10,0.644
20394,10,0.700
20444,10,0.681
20494,10,0.653
20544,10,0.681
20594,10,0.644
20644,10,0.672
20694,10,0.644
20744,10,0.663
20794,10,0.653
20844,10,0.644
20894,10,0.625
20944,10,0.587
20994,10,0.606
21044,10,0.625
21094,10,0.587
21144,10,0.597
21194,10,0.578
21244,10,0.578
21294,10,0.541
21344,10,0.550
21394,10,0.513
21444,10,0.466
21494,10,0.475
21544,10,0.466
21594,10,0.466
21644,10,0.447
21694,10,0.419
21744,10,0.419
21794,10,0.391
21844,10,0.372
21894,10,0.381
21944,10,0.353
21994,10,0.287
22044,10,0.241
22094,10,0.184
22144,10,0.184
22194,10,0.156
22244,10,0.063
22294,10,0.016
22344,10,0.006
22394,10,-0.031
22444,10,-0.116
22494,10,-0.228
22544,10,-0.303
22594,10,-0.491
22644,10,-0.594
22694,10,-0.725
22744,10,-0.781
22794,10,-0.838
22844,10,-0.894
22894,10,-0.950
22944,10,-1.147
22994,10,-1.203
23044,10,-1.381
23094,10,-1.475
23144,10,-1.672
23194,10,-1.719
23244,10,-1.794
23294,10,-1.850
23344,10,-1.925
23394,10,-1.916
23444,10,-1.934
23494,10,-2.000
23544,10,-1.981
23594,10,-2.066
23644,10,-2.066
23694,10,-2.159
23744,10,-1.869
23794,10,-1.034
23844,10,-1.025
23894,10,-1.044
23944,10,-1.081
23994,10,-1.091
24044,10,-1.063
24094,10,-1.053
24144,10,-1.053
24194,10,-1.034
24244,10,-1.109
24294,10,-1.109
24344,10,-1.072
24394,10,-1.072
24444,10,-1.091
24494,10,-1.109
24544,10,-1.147
24594,10,-1.063
24644,10,-1.081
24694,10,-1.063
24744,10,-1.128
24794,10,-1.147
24844,10,-1.128
24894,10,-1.063
24944,10,-1.034
24994,10,-1.072
25044,15,-1.100
25094,15,-1.119
25144,15,-1.194
25194,15,-1.166
25244,15,-1.231
25294,15,-1.203
25344,15,-1.175
25394,15,-1.213
25444,15,-1.241
25494,15,-1.306
25544,15,-1.287
25594,15,-1.259
25644,15,-1.269
25694,15,-1.278
25744,15,-1.325
25794,15,-1.297
25844,15,-1.334
25894,15,-1.353
25944,15,-1.409
25994,15,-1.437
26044,15,-1.503
26094,15,-1.494
26144,15,-1.494
26194,15,-0.866
26244,15,-0.744
26294,15,-0.688
26344,15,-0.678
26394,15,-0.706
26444,15,-0.641
26494,15,-0.688
26544,15,-0.631
26594,15,-0.641
26644,15,-0.584
26694,15,-0.584
26744,15,-0.566
26794,15,-0.566
26844,15,-0.612
26894,15,-0.603
26944,15,-0.641
26994,15,-0.716
27044,15,-0.744
27094,15,-0.800
27144,15,-0.828
27194,15,-0.800
27244,15,-0.828
27294,15,-0.809
27344,15,-0.894
27394,15,-0.969
27444,15,-0.922
27494,15,-0.959
27544,15,-0.959
27594,15,-1.006
27644,15,-1.016
27694,15,-1.044
27744,15,-1.109
27794,15,-1.100
27844,15,-1.100
27894,15,-1.091
27944,15,-1.166
27994,15,-1.147
28044,15,-1.166
28094,15,-1.241
28144,15,-1.334
28194,15,-1.409
28244,15,-1.475
28294,15,-1.550
28344,15,-1.522
28394,15,-1.578
28444,15,-1.531
28494,15,-1.587
28544,15,-1.672
28594,15,-1.719
28644,15,-1.634
28694,15,-1.681
28744,15,-1.663
28794,15,-1.812
28844,15,-2.169
28894,15,-2.647
28944,15,-2.806
28994,15,-2.909
29044,15,-2.891
29094,15,-2.956
29144,15,-2.909
29194,15,-3.003
29244,15,-2.863
29294,15,-2.919
29344,15,-2.844
29394,15,-2.516
29444,15,-2.656
29494,15,-2.713
29544,15,-2.778
29594,15,-2.891
29644,15,-3.003
29694,15,-2.759
29744,15,-2.478
29794,15,-2.469
29844,15,-2.038
29894,15,-2.038
29944,15,-2.084
29994,15,-2.206
30044,20,-2.028
30094,20,-1.953
30144,20,-1.972
30194,20,-1.934
30244,20,-1.934
30294,20,-1.934
30344,20,-1.953
30394,20,-1.906
30444,20,-1.991
30494,20,-1.953
30544,20,-1.953
30594,20,-1.981
30644,20,-1.962
30694,20,-1.962
30744,20,-1.953
30794,20,-1.962
30844,20,-1.962
30894,20,-2.038
30944,20,-2.056
30994,20,-2.019
31044,20,-2.009
31094,20,-2.047
31144,20,-2.019
31194,20,-2.103
31244,20,-1.981
31294,20,-1.953
31344,20,-1.925
31394,20,-2.028
31444,20,-2.000
31494,20,-1.925
31544,20,-1.953
31594,20,-1.981
31644,20,-2.094
31694,20,-2.244
31744,20,-2.056
31794,20,-2.094
31844,20,-2.262
31894,20,-2.262
31944,20,-2.159
31994,20,-2.225
32044,20,-2.291
32094,20,-2.328
32144,20,-2.375
32194,20,-2.469
32244,20,-2.441
32294,20,-2.441
32344,20,-2.459
32394,20,-2.506
32444,20,-2.459
32494,20,-2.497
32544,20,-2.469
32594,20,-2.562
32644,20,-2.656
32694,20,-2.694
32744,20,-2.675
32794,20,-2.750
32844,20,-2.797
32894,20,-2.750
32944,20,-2.694
32994,20,-2.834
33044,20,-2.947
33094,20,-3.134
33144,20,-3.116
33194,20,-3.116
33244,20,-3.237
33294,20,-3.266
33344,20,-3.387
