t_ms,PWM,Presion_kPa
10094,0,-3.781
10144,0,-3.744
10194,0,-3.809
10244,0,-3.781
10294,0,-3.809
10344,0,-3.791
10394,0,-3.800
10444,0,-3.791
10494,0,-3.800
10544,0,-3.772
10594,0,-3.772
10644,0,-3.762
10694,0,-3.753
10744,0,-3.762
10794,0,-3.725
10844,0,-3.744
10894,0,-3.744
10944,0,-3.744
10994,0,-3.762
11044,0,-3.753
11094,0,-3.762
11144,0,-3.762
11194,0,-3.753
11244,0,-3.762
11294,0,-3.753
11344,0,-3.753
11394,0,-3.753
11444,0,-3.744
11494,0,-3.753
11544,0,-3.744
11594,0,-3.744
11644,0,-3.734
11694,0,-3.725
11744,0,-3.734
11794,0,-3.734
11844,0,-3.734
11894,0,-3.725
11944,0,-3.734
11994,0,-3.725
12044,0,-3.734
12094,0,-3.734
12144,0,-3.725
12194,0,-3.734
12244,0,-3.725
12294,0,-3.716
12344,0,-3.734
12394,0,-3.725
12444,0,-3.734
12494,0,-3.716
12544,0,-3.706
12594,0,-3.716
12644,0,-3.716
12694,0,-3.697
12744,0,-3.725
12794,0,-3.706
12844,0,-3.716
12894,0,-3.716
12944,0,-3.716
12994,0,-3.697
13044,0,-3.688
13094,0,-3.706
13144,0,-3.725
13194,0,-3.716
13244,0,-3.716
13294,0,-3.716
13344,0,-3.725
13394,0,-3.706
13444,0,-3.706
13494,0,-3.706
13544,0,-3.725
13594,0,-3.716
13644,0,-3.706
13694,0,-3.706
13744,0,-3.716
13794,0,-3.716
13844,0,-3.716
13894,0,-3.716
13944,0,-3.725
13994,0,-3.725
14044,0,-3.716
14094,0,-3.716
14144,0,-3.725
14194,0,-3.716
14244,0,-3.725
14294,0,-3.716
14344,0,-3.725
14394,0,-3.725
14444,0,-3.734
14494,0,-3.725
14544,0,-3.725
14594,0,-3.725
14644,0,-3.725
14694,0,-3.716
14744,0,-3.725
14794,0,-3.716
14844,0,-3.716
14894,0,-3.716
14944,0,-3.716
14994,0,-3.716
15044,5,-3.706
15094,5,-3.706
15144,5,-3.716
15194,5,-3.706
15244,5,-3.725
15294,5,-3.706
15344,5,-3.725
15394,5,-3.716
15444,5,-3.725
15494,5,-3.716
15544,5,-3.706
15594,5,-3.725
15644,5,-3.716
15694,5,-3.725
15744,5,-3.706
15794,5,-3.706
15844,5,-3.706
15894,5,-3.706
15944,5,-3.725
15994,5,-3.697
16044,5,-3.697
16094,5,-3.725
16144,5,-3.734
16194,5,-3.725
16244,5,-3.725
16294,5,-3.716
16344,5,-3.716
16394,5,-3.716
16444,5,-3.706
16494,5,-3.669
16544,5,-3.734
16594,5,-3.725
16644,5,-3.725
16694,5,-3.725
16744,5,-3.725
16794,5,-3.725
16844,5,-3.734
16894,5,-3.725
