t_ms,PWM,Presion_kPa
10,0,-5.125
20,0,-5.094
30,0,-5.031
40,0,-5.012
50,0,-4.950
60,0,-4.875
70,0,-4.581
80,0,-4.562
90,0,-4.525
100,0,-4.481
110,0,-4.512
120,0,-4.481
130,0,-4.462
140,0,-4.444
150,0,-4.450
160,0,-4.481
170,0,-4.606
180,0,-4.637
190,0,-4.619
200,0,-4.594
210,0,-4.575
220,0,-4.562
230,0,-4.525
240,0,-4.544
250,0,-4.506
260,0,-4.437
270,0,-4.381
280,0,-4.319
290,0,-4.256
300,0,-4.181
310,0,-4.131
320,0,-4.081
330,0,-4.050
340,0,-4.019
350,0,-3.987
360,0,-3.962
370,0,-3.950
380,0,-3.912
390,0,-3.900
400,0,-3.881
410,0,-3.850
420,0,-3.831
430,0,-3.775
440,0,-3.725
450,0,-3.687
460,0,-3.637
470,0,-3.625
480,0,-3.606
490,0,-3.544
500,0,-3.494
510,0,-3.481
520,0,-3.462
530,0,-3.456
540,0,-3.425
550,0,-3.419
560,0,-3.412
570,0,-3.387
580,0,-3.381
590,0,-3.381
600,0,-3.369
610,0,-3.394
620,0,-3.400
630,0,-3.362
640,0,-3.319
650,0,-3.312
660,0,-3.300
670,0,-3.287
680,0,-3.281
690,0,-3.262
700,0,-3.269
710,0,-3.237
720,0,-3.237
730,0,-3.250
740,0,-3.219
750,0,-3.156
760,0,-3.094
770,0,-3.037
780,0,-2.994
790,0,-2.900
800,0,-2.737
810,0,-2.719
820,0,-2.700
830,0,-2.675
840,0,-2.625
850,0,-2.619
860,0,-2.606
870,0,-2.594
880,0,-2.594
890,0,-2.594
900,0,-2.594
910,0,-2.594
920,0,-2.569
930,0,-2.550
940,0,-2.525
950,0,-2.575
960,0,-2.587
970,0,-2.575
980,0,-2.581
990,0,-2.556
1000,0,-2.575
1010,0,-2.562
1020,0,-2.544
1030,0,-2.550
1040,0,-2.544
1050,0,-2.531
1060,0,-2.519
1070,0,-2.531
1080,0,-2.519
1090,0,-2.475
1100,0,-2.469
1110,0,-2.419
1120,0,-2.406
1130,0,-2.369
1140,0,-2.369
1150,0,-2.331
1160,0,-2.300
1170,0,-2.281
1180,0,-2.250
1190,0,-2.212
1200,0,-2.169
1210,0,-2.081
1220,0,-2.025
1230,0,-2.012
1240,0,-1.975
1250,0,-1.937
1260,0,-1.900
1270,0,-1.881
1280,0,-1.850
1290,0,-1.831
1300,0,-1.837
1310,0,-1.825
1320,0,-1.800
1330,0,-1.794
1340,0,-1.769
1350,0,-1.750
1360,0,-1.687
1370,0,-1.656
1380,0,-1.656
1390,0,-1.656
1400,0,-1.637
1410,0,-1.644
1420,0,-1.625
1430,0,-1.619
1440,0,-1.606
1450,0,-1.606
1460,0,-1.606
1470,0,-1.619
1480,0,-1.625
1490,0,-1.631
1500,0,-1.631
1510,0,-1.606
1520,0,-1.612
1530,0,-1.612
1540,0,-1.625
1550,0,-1.631
1560,0,-1.637
1570,0,-1.656
1580,0,-1.675
1590,0,-1.700
1600,0,-1.725
1610,0,-1.725
1620,0,-1.737
1630,0,-1.737
1640,0,-1.756
1650,0,-1.769
1660,0,-1.769
1670,0,-1.775
1680,0,-1.781
1690,0,-1.769
1700,0,-1.775
1710,0,-1.794
1720,0,-1.794
1730,0,-1.825
1740,0,-1.831
1750,0,-1.862
1760,0,-1.894
1770,0,-1.900
1780,0,-1.912
1790,0,-1.919
1800,0,-1.919
1810,0,-1.931
1820,0,-1.906
1830,0,-1.881
1840,0,-1.881
1850,0,-1.869
1860,0,-1.856
1870,0,-1.856
1880,0,-1.844
1890,0,-1.837
1900,0,-1.737
1910,0,-1.731
1920,0,-1.725
1930,0,-1.737
1940,0,-1.737
1950,0,-1.731
1960,0,-1.737
1970,0,-1.737
1980,0,-1.737
1990,0,-1.731
2000,0,-1.725
2010,0,-1.681
2020,0,-1.681
2030,0,-1.675
2040,0,-1.725
2050,0,-1.725
2060,0,-1.750
2070,0,-1.731
2080,0,-1.687
2090,0,-1.644
2100,0,-1.619
2110,0,-1.612
2120,0,-1.619
2130,0,-1.594
2140,0,-1.587
2150,0,-1.569
2160,0,-1.569
2170,0,-1.556
2180,0,-1.537
2190,0,-1.525
2200,0,-1.512
2210,0,-1.500
2220,0,-1.494
2230,0,-1.500
2240,0,-1.494
2250,0,-1.494
2260,0,-1.487
2270,0,-1.481
2280,0,-1.481
2290,0,-1.462
2300,0,-1.469
2310,0,-1.469
2320,0,-1.475
2330,0,-1.469
2340,0,-1.462
2350,0,-1.456
2360,0,-1.450
2370,0,-1.431
2380,0,-1.425
2390,0,-1.425
2400,0,-1.419
2410,0,-1.419
2420,0,-1.406
2430,0,-1.406
