t_ms,PWM,Presion_kPa
10094,170,5.969
10144,170,5.913
10194,170,4.394
10244,170,1.797
10294,170,-0.706
10344,170,-2.291
10394,170,-3.931
10444,170,-4.419
10494,170,-4.409
10544,170,-5.488
10594,170,-5.319
10644,170,-4.916
10694,170,-4.559
10744,170,-4.194
10794,170,-3.828
10844,170,-3.491
10894,170,-3.134
10944,170,-2.853
10994,170,-2.562
11044,170,-2.253
11094,170,-2.009
11144,170,-1.812
11194,170,-2.028
11244,170,-2.572
11294,170,-3.969
11344,170,-4.250
11394,170,-4.269
11444,170,-5.591
11494,170,-5.347
11544,170,-4.963
11594,170,-4.578
11644,170,-4.287
11694,170,-3.912
11744,170,-3.631
11794,170,-3.331
11844,170,-3.050
11894,170,-2.769
11944,170,-3.322
11994,170,-4.597
12044,170,-4.831
12094,170,-5.150
12144,170,-5.525
12194,170,-6.228
12244,170,-5.806
12294,170,-5.394
12344,170,-5.056
12394,170,-4.691
12444,170,-4.419
12494,170,-4.081
12544,170,-3.772
12594,170,-3.416
12644,170,-3.116
12694,170,-2.787
12744,170,-2.497
12794,170,-2.159
12844,170,-1.906
12894,170,-1.587
12944,170,-1.297
12994,170,-1.016
13044,170,-0.838
13094,170,-0.622
13144,170,-0.500
13194,170,-1.213
13244,170,-2.722
13294,170,-3.491
13344,170,-3.753
13394,170,-5.075
13444,170,-5.056
13494,170,-4.737
13544,170,-4.559
13594,170,-4.737
13644,170,-6.031
13694,170,-5.881
13744,170,-5.478
13794,170,-5.131
13844,170,-4.775
13894,170,-4.409
13944,170,-4.119
13994,170,-3.791
14044,170,-3.491
14094,170,-3.163
14144,170,-2.909
14194,170,-2.591
14244,170,-2.338
14294,170,-2.075
14344,170,-1.906
14394,170,-2.038
14444,170,-2.553
14494,170,-4.109
14544,170,-4.362
14594,170,-4.437
14644,170,-5.628
14694,170,-5.525
14744,170,-5.131
14794,170,-4.737
14844,170,-4.428
14894,170,-4.072
14944,170,-3.781
14994,170,-3.434
15044,175,-3.153
15094,175,-2.881
15144,175,-2.619
15194,175,-2.450
15244,175,-2.909
15294,175,-3.809
15344,175,-4.681
15394,175,-5.178
15444,175,-5.769
15494,175,-6.444
15544,175,-6.041
15594,175,-5.666
15644,175,-5.272
15694,175,-4.963
15744,175,-4.606
15794,175,-4.428
15844,175,-4.737
15894,175,-5.525
15944,175,-6.209
15994,175,-5.947
16044,175,-6.369
16094,175,-7.025
16144,175,-7.297
16194,175,-6.856
16244,175,-6.509
16294,175,-6.125
16344,175,-5.769
16394,175,-5.450
16444,175,-5.084
16494,175,-4.766
16544,175,-4.466
16594,175,-4.166
16644,175,-3.875
16694,175,-3.519
16744,175,-3.209
16794,175,-2.947
16844,175,-2.628
16894,175,-2.356
16944,175,-2.066
16994,175,-1.803
17044,175,-1.578
17094,175,-1.372
17144,175,-1.297
17194,175,-1.953
17244,175,-3.566
17294,175,-4.344
17344,175,-4.578
17394,175,-5.994
17444,175,-5.947
17494,175,-6.191
17544,175,-6.716
17594,175,-7.344
17644,175,-6.875
17694,175,-6.528
17744,175,-6.125
17794,175,-5.797
17844,175,-5.422
17894,175,-5.075
17944,175,-4.794
17994,175,-4.475
18044,175,-4.147
18094,175,-3.838
18144,175,-3.519
18194,175,-3.237
18244,175,-2.928
18294,175,-2.656
18344,175,-2.366
18394,175,-2.066
18444,175,-1.850
18494,175,-1.634
18544,175,-1.522
18594,175,-2.075
18644,175,-3.172
18694,175,-4.287
18744,175,-4.822
18794,175,-5.806
18844,175,-6.228
18894,175,-6.059
18944,175,-6.237
18994,175,-7.428
19044,175,-7.212
19094,175,-6.809
19144,175,-6.425
19194,175,-6.059
19244,175,-5.731
19294,175,-5.375
19344,175,-5.066
19394,175,-4.775
19444,175,-4.484
19494,175,-4.203
19544,175,-3.912
19594,175,-3.612
19644,175,-3.350
19694,175,-3.003
19744,175,-2.863
19794,175,-3.116
19844,175,-4.006
19894,175,-5.131
19944,175,-5.619
19994,175,-5.938
20044,180,-6.997
20094,180,-6.659
20144,180,-6.313
20194,180,-6.022
20244,180,-6.491
20294,180,-7.484
20344,180,-7.756
20394,180,-7.419
20444,180,-7.681
20494,180,-8.216
20544,180,-8.788
20594,180,-8.347
20644,180,-7.991
20694,180,-7.569
20744,180,-7.269
20794,180,-6.875
20844,180,-6.584
20894,180,-6.219
20944,180,-5.900
20994,180,-5.600
21044,180,-5.300
21094,180,-4.991
21144,180,-4.719
21194,180,-4.428
21244,180,-4.175
21294,180,-3.903
21344,180,-3.753
21394,180,-4.334
21444,180,-5.834
21494,180,-6.369
21544,180,-6.631
21594,180,-7.794
21644,180,-7.794
21694,180,-7.409
21744,180,-7.119
21794,180,-7.522
21844,180,-8.450
21894,180,-8.562
21944,180,-8.150
21994,180,-7.747
22044,180,-7.419
22094,180,-7.044
22144,180,-6.734
22194,180,-6.416
22244,180,-6.059
22294,180,-5.750
22344,180,-5.450
22394,180,-5.131
22444,180,-4.906
22494,180,-4.653
22544,180,-5.244
22594,180,-6.528
22644,180,-6.922
22694,180,-7.288
22744,180,-8.169
22794,180,-8.422
22844,180,-7.972
22894,180,-7.644
22944,180,-7.288
22994,180,-6.912
23044,180,-6.631
23094,180,-6.303
23144,180,-6.012
23194,180,-5.703
23244,180,-5.488
23294,180,-5.816
23344,180,-6.706
23394,180,-7.522
23444,180,-7.766
23494,180,-7.981
23544,180,-9.059
23594,180,-8.666
23644,180,-8.309
23694,180,-7.944
23744,180,-7.634
23794,180,-7.288
23844,180,-7.016
23894,180,-6.706
23944,180,-6.406
23994,180,-6.144
24044,180,-5.862
24094,180,-5.600
24144,180,-5.459
24194,180,-5.656
24244,180,-6.594
24294,180,-7.859
24344,180,-8.675
24394,180,-9.650
24444,180,-12.519
24494,180,-14.141
24544,180,-16.156
24594,180,-12.800
24644,180,-14.881
24694,180,-18.556
24744,180,-17.366
24794,180,-15.950
24844,180,-15.500
24894,180,-14.563
24944,180,-15.228
24994,180,-15.800
25044,185,-16.044
25094,185,-15.950
25144,185,-16.203
25194,185,-17.684
25244,185,-17.441
25294,185,-16.878
25344,185,-17.103
25394,185,-17.947
25444,185,-17.759
25494,185,-17.178
25544,185,-16.466
25594,185,-15.650
25644,185,-15.322
25694,185,-14.900
25744,185,-14.609
25794,185,-14.197
25844,185,-13.850
25894,185,-13.541
25944,185,-13.241
25994,185,-12.941
26044,185,-12.725
26094,185,-12.331
26144,185,-12.162
26194,185,-12.022
26244,185,-12.528
26294,185,-13.775
26344,185,-14.384
26394,185,-14.787
26444,185,-15.875
26494,185,-15.838
26544,185,-15.547
26594,185,-15.538
26644,185,-15.838
26694,185,-16.728
26744,185,-16.419
26794,185,-15.903
26844,185,-15.556
26894,185,-15.134
26944,185,-14.834
26994,185,-14.441
27044,185,-14.169
27094,185,-13.803
27144,185,-13.494
27194,185,-13.100
27244,185,-12.819
27294,185,-12.481
27344,185,-12.209
27394,185,-11.928
27444,185,-11.713
27494,185,-11.572
27544,185,-12.097
27594,185,-13.222
27644,185,-14.075
27694,185,-14.544
27744,185,-15.341
27794,185,-15.650
27844,185,-15.378
27894,185,-15.622
27944,185,-16.391
27994,185,-16.634
28044,185,-16.259
28094,185,-15.856
28144,185,-15.509
28194,185,-15.153
28244,185,-14.787
28294,185,-14.488
28344,185,-14.262
28394,185,-13.897
28444,185,-13.634
28494,185,-13.222
28544,185,-12.987
28594,185,-12.641
28644,185,-12.406
28694,185,-12.247
28744,185,-12.088
28794,185,-12.416
28844,185,-14.019
28894,185,-14.300
28944,185,-14.366
28994,185,-15.519
29044,185,-15.556
29094,185,-15.266
29144,185,-15.538
29194,185,-16.119
29244,185,-16.541
29294,185,-16.081
29344,185,-15.706
29394,185,-15.219
29444,185,-14.806
29494,185,-14.478
29544,185,-14.206
29594,185,-13.878
29644,185,-13.494
29694,185,-13.053
29744,185,-12.856
29794,185,-12.612
29844,185,-12.369
29894,185,-12.050
29944,185,-11.769
29994,185,-11.609
30044,190,-12.247
30094,190,-13.606
30144,190,-14.384
30194,190,-14.534
30244,190,-15.838
30294,190,-15.781
30344,190,-16.109
30394,190,-17.187
30444,190,-17.066
30494,190,-16.578
30544,190,-16.212
30594,190,-15.744
30644,190,-15.416
30694,190,-14.966
30744,190,-14.675
30794,190,-14.262
30844,190,-13.991
30894,190,-13.606
30944,190,-13.606
30994,190,-14.319
31044,190,-15.528
31094,190,-15.528
31144,190,-15.884
31194,190,-16.887
31244,190,-16.672
31294,190,-16.316
31344,190,-15.959
31394,190,-15.575
31444,190,-15.209
31494,190,-14.853
31544,190,-14.563
31594,190,-14.253
31644,190,-14.675
31694,190,-15.931
31744,190,-15.978
31794,190,-16.269
31844,190,-17.187
31894,190,-17.272
31944,190,-16.869
31994,190,-16.344
32044,190,-16.044
32094,190,-15.659
32144,190,-15.303
32194,190,-14.966
32244,190,-14.647
32294,190,-14.234
32344,190,-13.981
32394,190,-13.625
32444,190,-13.419
32494,190,-13.072
32544,190,-12.866
32594,190,-12.772
32644,190,-13.456
32694,190,-14.787
32744,190,-15.059
32794,190,-15.378
32844,190,-16.484
32894,190,-16.231
32944,190,-16.456
32994,190,-17.056
33044,190,-17.478
33094,190,-16.953
33144,190,-16.625
33194,190,-16.278
33244,190,-15.894
33294,190,-15.519
33344,190,-15.256
33394,190,-14.919
33444,190,-14.647
33494,190,-14.291
33544,190,-14.009
33594,190,-13.756
33644,190,-13.475
33694,190,-13.175
33744,190,-12.997
33794,190,-13.419
33844,190,-14.909
33894,190,-15.247
33944,190,-15.500
33994,190,-16.691
34044,190,-16.541
34094,190,-16.344
34144,190,-16.559
34194,190,-17.591
34244,190,-17.422
34294,190,-16.953
34344,190,-16.597
34394,190,-16.138
34444,190,-15.828
34494,190,-15.462
34544,190,-15.144
34594,190,-14.834
34644,190,-14.525
34694,190,-14.197
34744,190,-13.944
34794,190,-13.550
34844,190,-13.344
34894,190,-13.053
34944,190,-12.941
34994,190,-13.363
35044,195,-14.600
35094,195,-15.200
35144,195,-15.631
35194,195,-16.756
35244,195,-16.887
35294,195,-17.131
35344,195,-18.172
35394,195,-18.059
35444,195,-17.712
35494,195,-17.300
35544,195,-17.469
35594,195,-18.031
35644,195,-18.687
35694,195,-18.228
35744,195,-17.834
35794,195,-17.441
35844,195,-17.112
35894,195,-16.737
35944,195,-16.475
35994,195,-16.091
36044,195,-15.828
36094,195,-15.734
36144,195,-16.316
36194,195,-17.394
36244,195,-17.469
36294,195,-17.694
36344,195,-18.697
36394,195,-18.387
36444,195,-18.041
36494,195,-17.694
36544,195,-17.347
36594,195,-16.906
36644,195,-16.681
36694,195,-16.306
36744,195,-16.119
36794,195,-16.325
36844,195,-17.272
36894,195,-17.656
36944,195,-17.862
36994,195,-18.416
37044,195,-18.866
37094,195,-18.481
37144,195,-18.125
37194,195,-17.722
37244,195,-17.478
37294,195,-17.169
37344,195,-17.338
37394,195,-18.031
37444,195,-18.603
37494,195,-18.303
37544,195,-18.622
37594,195,-19.438
37644,195,-19.344
37694,195,-18.875
37744,195,-18.463
37794,195,-18.059
37844,195,-17.741
37894,195,-17.291
37944,195,-16.963
37994,195,-10.353
38044,195,-10.081
38094,195,-9.800
38144,195,-9.500
38194,195,-9.162
38244,195,-8.872
38294,195,-8.572
38344,195,-8.319
38394,195,-8.094
38444,195,-8.459
38494,195,-9.687
38544,195,-10.325
38594,195,-10.662
38644,195,-11.825
38694,195,-11.872
38744,195,-12.219
38794,195,-13.025
38844,195,-13.259
38894,195,-12.931
38944,195,-12.772
38994,195,-12.509
39044,195,-12.275
39094,195,-12.041
39144,195,-11.759
39194,195,-11.403
39244,195,-11.178
39294,195,-10.850
39344,195,-10.719
39394,195,-10.522
39444,195,-10.419
39494,195,-10.841
39544,195,-12.106
39594,195,-13.034
39644,195,-16.222
39694,195,-17.666
39744,195,-17.591
39794,195,-17.731
39844,195,-17.506
39894,195,-18.762
39944,195,-18.116
39994,195,-17.900
40044,200,-17.169
40094,200,-16.775
40144,200,-16.325
40194,200,-15.856
40244,200,-15.331
40294,200,-15.013
40344,200,-14.684
40394,200,-14.131
40444,200,-13.934
40494,200,-14.309
40544,200,-15.734
40594,200,-15.997
40644,200,-16.428
40694,200,-17.300
40744,200,-17.187
40794,200,-17.450
40844,200,-18.416
40894,200,-17.937
40944,200,-17.600
40994,200,-17.103
41044,200,-16.147
41094,200,-15.209
41144,200,-14.656
41194,200,-14.469
41244,200,-14.572
41294,200,-15.125
41344,200,-16.297
41394,200,-16.287
41444,200,-16.803
41494,200,-17.619
41544,200,-17.253
41594,200,-16.784
41644,200,-16.428
41694,200,-16.044
41744,200,-15.800
41794,200,-15.387
41844,200,-15.266
41894,200,-15.556
41944,200,-16.616
41994,200,-16.409
42044,200,-16.663
42094,200,-17.712
42144,200,-17.441
42194,200,-16.878
42244,200,-16.437
42294,200,-15.931
42344,200,-15.462
42394,200,-15.387
42444,200,-15.097
42494,200,-14.787
42544,200,-14.525
42594,200,-14.797
42644,200,-15.866
42694,200,-15.997
42744,200,-16.250
42794,200,-17.122
42844,200,-17.356
42894,200,-16.981
42944,200,-16.541
42994,200,-16.175
43044,200,-15.978
43094,200,-16.269
43144,200,-17.366
43194,200,-17.131
43244,200,-17.272
43294,200,-17.872
43344,200,-18.125
43394,200,-17.647
43444,200,-17.272
43494,200,-16.831
43544,200,-16.531
43594,200,-16.100
43644,200,-15.762
43694,200,-15.369
43744,200,-15.069
43794,200,-14.759
43844,200,-14.431
43894,200,-14.038
43944,200,-13.747
43994,200,-13.400
44044,200,-13.175
44094,200,-12.978
44144,200,-13.541
44194,200,-14.919
44244,200,-15.200
44294,200,-15.744
44344,200,-16.494
44394,200,-16.372
44444,200,-16.719
44494,200,-17.553
44544,200,-16.606
44594,200,-16.062
44644,200,-15.997
44694,200,-15.978
44744,200,-14.956
44794,200,-15.997
44844,200,-17.169
44894,200,-16.963
44944,200,-17.187
44994,200,-18.087
45044,205,-17.844
45094,205,-17.375
45144,205,-16.972
45194,205,-14.816
45244,205,-14.478
45294,205,-14.066
45344,205,-13.784
45394,205,-13.475
45444,205,-13.334
45494,205,-12.800
45544,205,-12.519
45594,205,-12.444
45644,205,-12.547
45694,205,-13.100
45744,205,-14.609
45794,205,-16.053
45844,205,-16.906
45894,205,-17.291
45944,205,-17.506
45994,205,-18.303
46044,205,-17.844
46094,205,-17.291
46144,205,-17.187
46194,205,-17.562
46244,205,-17.169
46294,205,-17.431
46344,205,-18.228
46394,205,-18.387
46444,205,-19.372
46494,205,-19.081
46544,205,-18.762
46594,205,-18.922
46644,205,-19.728
46694,205,-19.625
46744,205,-19.241
46794,205,-18.387
46844,205,-18.069
46894,205,-17.534
46944,205,-17.197
46994,205,-16.822
47044,205,-16.822
47094,205,-15.856
47144,205,-16.475
47194,205,-16.503
47244,205,-16.953
47294,205,-17.131
47344,205,-16.775
47394,205,-16.766
47444,205,-17.703
47494,205,-17.394
47544,205,-17.009
47594,205,-16.437
47644,205,-15.969
47694,205,-15.584
47744,205,-15.716
47794,205,-16.419
47844,205,-16.709
47894,205,-16.578
47944,205,-16.963
47994,205,-17.469
48044,205,-17.037
48094,205,-16.634
48144,205,-16.316
48194,205,-15.997
48244,205,-15.725
48294,205,-15.322
48344,205,-14.937
48394,205,-14.581
48444,205,-14.272
48494,205,-13.916
48544,205,-13.616
48594,205,-13.334
48644,205,-13.616
48694,205,-14.684
48744,205,-15.031
48794,205,-15.416
48844,205,-16.297
48894,205,-16.044
48944,205,-16.522
48994,205,-17.234
49044,205,-16.934
49094,205,-16.231
49144,205,-17.131
49194,205,-17.403
49244,205,-17.309
49294,205,-17.216
49344,205,-17.572
49394,205,-18.087
49444,205,-17.638
49494,205,-17.084
49544,205,-16.869
49594,205,-16.325
49644,205,-15.912
49694,205,-15.622
49744,205,-14.891
49794,205,-14.328
49844,205,-14.038
49894,205,-13.803
49944,205,-13.484
49994,205,-13.119
50044,210,-13.587
50094,210,-14.609
50144,210,-15.163
50194,210,-15.556
50244,210,-16.513
50294,210,-16.587
50344,210,-17.525
50394,210,-17.666
50444,210,-17.947
50494,210,-18.584
50544,210,-18.378
50594,210,-18.547
50644,210,-19.634
50694,210,-19.325
50744,210,-19.138
50794,210,-19.306
50844,210,-19.569
50894,210,-19.250
50944,210,-19.128
50994,210,-19.550
51044,210,-19.438
51094,210,-19.306
51144,210,-19.578
51194,210,-18.650
51244,210,-19.475
51294,210,-19.831
51344,210,-19.484
51394,210,-19.081
51444,210,-18.716
51494,210,-18.191
51544,210,-18.144
51594,210,-18.341
51644,210,-18.969
51694,210,-18.697
51744,210,-18.997
51794,210,-19.672
51844,210,-19.259
51894,210,-19.447
51944,210,-20.103
51994,210,-19.700
52044,210,-19.381
52094,210,-18.828
52144,210,-18.594
52194,210,-18.762
52244,210,-19.372
52294,210,-19.062
52344,210,-19.100
52394,210,-19.972
52444,210,-19.794
52494,210,-19.194
52544,210,-19.616
52594,210,-20.300
52644,210,-20.047
52694,210,-19.653
52744,210,-19.747
52794,210,-21.003
52844,210,-20.750
52894,210,-20.234
52944,210,-20.562
52994,210,-21.106
53044,210,-20.919
53094,210,-20.375
53144,210,-20.009
53194,210,-19.428
53244,210,-16.222
53294,210,-15.941
53344,210,-15.678
53394,210,-15.378
53444,210,-15.688
53494,210,-16.606
53544,210,-16.494
53594,210,-16.634
53644,210,-17.412
53694,210,-17.206
