t_ms,PWM,Presion_kPa
10094,170,4.366
10144,170,4.534
10194,170,7.263
10244,170,8.734
10294,170,14.350
10344,170,16.638
10394,170,15.437
10444,170,14.219
10494,170,13.431
10544,170,12.306
10594,170,11.369
10644,170,10.375
10694,170,9.419
10744,170,8.556
10794,170,7.703
10844,170,6.859
10894,170,6.316
10944,170,6.419
10994,170,8.884
11044,170,14.087
11094,170,17.059
11144,170,16.019
11194,170,14.866
11244,170,13.722
11294,170,12.606
11344,170,11.641
11394,170,10.750
11444,170,9.916
11494,170,9.381
11544,170,9.053
11594,170,11.294
11644,170,15.334
11694,170,17.416
11744,170,16.262
11794,170,15.091
11844,170,14.022
11894,170,13.066
11944,170,12.063
11994,170,11.172
12044,170,10.206
12094,170,9.259
12144,170,8.369
12194,170,7.553
12244,170,6.841
12294,170,6.409
12344,170,6.512
12394,170,9.025
12444,170,13.628
12494,170,17.547
12544,170,16.131
12594,170,15.062
12644,170,13.966
12694,170,13.047
12744,170,12.100
12794,170,11.181
12844,170,10.337
12894,170,9.681
12944,170,9.363
12994,170,10.366
13044,170,13.019
13094,170,17.969
13144,170,16.544
13194,170,15.353
13244,170,14.303
13294,170,13.309
13344,170,12.372
13394,170,11.416
13444,170,10.478
13494,170,9.550
13544,170,8.697
13594,170,7.872
13644,170,7.150
13694,170,6.569
13744,170,6.353
13794,170,6.522
13844,170,10.150
13894,170,15.203
13944,170,16.938
13994,170,15.663
14044,170,14.603
14094,170,13.600
14144,170,12.597
14194,170,11.659
14244,170,10.787
14294,170,10.028
14344,170,9.522
14394,170,9.128
14444,170,11.725
14494,170,15.306
14544,170,17.322
14594,170,16.113
14644,170,14.997
14694,170,14.041
14744,170,13.028
14794,170,12.081
14844,170,11.162
14894,170,10.272
14944,170,9.363
14994,170,8.509
15044,175,7.675
15094,175,7.037
15144,175,6.709
15194,175,6.925
15244,175,10.413
15294,175,15.006
15344,175,17.547
15394,175,16.244
15444,175,15.241
15494,175,14.219
15544,175,13.253
15594,175,12.297
15644,175,11.491
15694,175,10.787
15744,175,10.431
15794,175,11.856
15844,175,15.100
15894,175,18.550
15944,175,17.078
15994,175,15.991
16044,175,14.978
16094,175,13.975
16144,175,13.047
16194,175,12.119
16244,175,11.219
16294,175,10.300
16344,175,9.456
16394,175,8.603
16444,175,7.825
16494,175,7.225
16544,175,6.719
16594,175,6.906
16644,175,9.381
16694,175,13.966
16744,175,17.884
16794,175,16.544
16844,175,15.503
16894,175,14.453
16944,175,13.506
16994,175,12.522
17044,175,11.669
17094,175,10.853
17144,175,10.356
17194,175,9.766
17244,175,12.456
17294,175,16.816
17344,175,17.444
17394,175,16.300
17444,175,15.213
17494,175,14.228
17544,175,13.262
17594,175,12.325
17644,175,11.425
17694,175,10.506
17744,175,9.634
17794,175,8.837
17844,175,8.041
17894,175,7.441
17944,175,7.019
17994,175,7.319
18044,175,10.769
18094,175,15.409
18144,175,18.175
18194,175,16.900
18244,175,15.794
18294,175,14.800
18344,175,13.806
18394,175,12.934
18444,175,12.175
18494,175,11.603
18544,175,11.950
18594,175,14.219
18644,175,19.422
18694,175,18.091
18744,175,16.994
18794,175,15.953
18844,175,14.969
18894,175,14.050
18944,175,13.056
18994,175,12.175
19044,175,11.266
19094,175,10.394
19144,175,9.522
19194,175,8.716
19244,175,7.994
19294,175,7.450
19344,175,7.169
19394,175,7.834
19444,175,11.134
19494,175,17.866
19544,175,17.838
19594,175,16.628
19644,175,15.578
19694,175,14.631
19744,175,13.675
19794,175,12.784
19844,175,12.091
19894,175,11.716
19944,175,13.169
19994,175,16.694
20044,180,19.319
20094,180,17.941
20144,180,16.881
20194,180,15.850
20244,180,14.884
20294,180,13.900
20344,180,13.009
20394,180,12.100
20444,180,11.238
20494,180,10.337
20544,180,9.512
20594,180,8.669
20644,180,8.088
20694,180,7.684
20744,180,7.966
20794,180,11.350
20844,180,15.822
20894,180,18.859
20944,180,17.509
20994,180,16.431
21044,180,15.466
21094,180,14.556
21144,180,13.656
21194,180,13.216
21244,180,14.228
21294,180,17.744
21344,180,20.594
21394,180,19.122
21444,180,17.997
21494,180,16.966
21544,180,15.972
21594,180,14.988
21644,180,14.069
21694,180,13.159
21744,180,12.269
21794,180,11.425
21844,180,10.506
21894,180,9.691
21944,180,8.978
21994,180,8.434
22044,180,8.247
22094,180,9.044
22144,180,12.072
22194,180,19.028
22244,180,18.841
22294,180,17.678
22344,180,16.638
22394,180,15.597
22444,180,14.659
22494,180,13.984
22544,180,13.188
22594,180,15.475
22644,180,19.919
22694,180,19.647
22744,180,18.447
22794,180,17.350
22844,180,16.319
22894,180,15.334
22944,180,14.378
22994,180,13.478
23044,180,12.587
23094,180,11.706
23144,180,10.881
23194,180,10.066
23244,180,9.222
23294,180,8.481
23344,180,7.722
23394,180,7.178
23444,180,7.066
23494,180,7.459
23544,180,11.434
23594,180,18.016
23644,180,18.850
23694,180,17.997
23744,180,18.709
23794,180,19.872
23844,180,22.356
23894,180,20.922
23944,180,19.806
23994,180,19.159
24044,180,18.559
24094,180,18.297
24144,180,17.959
24194,180,17.031
24244,180,18.259
24294,180,18.353
24344,180,21.634
24394,180,20.425
24444,180,19.291
24494,180,18.522
24544,180,17.978
24594,180,17.650
24644,180,17.369
24694,180,16.675
24744,180,17.809
24794,180,18.081
24844,180,21.250
24894,180,20.050
24944,180,19.075
24994,180,18.550
25044,185,18.081
25094,185,18.044
25144,185,17.519
25194,185,17.988
25244,185,18.569
25294,185,22.113
25344,185,21.850
25394,185,20.641
25444,185,19.609
25494,185,19.000
25544,185,18.681
25594,185,18.203
25644,185,17.397
25694,185,17.725
25744,185,18.569
25794,185,21.972
25844,185,21.878
25894,185,20.706
25944,185,19.591
25994,185,18.822
26044,185,18.522
26094,185,18.166
26144,185,17.219
26194,185,16.525
26244,185,17.313
26294,185,17.950
26344,185,22.337
26394,185,21.147
26444,185,19.966
26494,185,18.869
26544,185,17.819
26594,185,16.834
26644,185,15.831
26694,185,14.941
26744,185,14.050
26794,185,13.122
26844,185,12.231
26894,185,11.425
26944,185,10.563
26994,185,9.766
27044,185,8.997
27094,185,8.275
27144,185,7.647
27194,185,7.216
27244,185,7.403
27294,185,9.662
27344,185,15.072
27394,185,20.256
27444,185,19.122
27494,185,20.603
27544,185,21.091
27594,185,22.806
27644,185,21.344
27694,185,20.463
27744,185,19.891
27794,185,19.328
27844,185,18.766
27894,185,18.278
27944,185,17.856
27994,185,17.716
28044,185,17.097
28094,185,17.903
28144,185,17.809
28194,185,20.556
28244,185,20.650
28294,185,19.516
28344,185,18.756
28394,185,18.212
28444,185,17.781
28494,185,17.631
28544,185,16.919
28594,185,16.900
28644,185,17.941
28694,185,20.416
28744,185,20.959
28794,185,19.722
28844,185,18.878
28894,185,18.372
28944,185,18.175
28994,185,17.716
29044,185,16.994
29094,185,18.147
29144,185,19.300
29194,185,22.853
29244,185,21.344
29294,185,20.106
29344,185,19.009
29394,185,17.988
29444,185,17.013
29494,185,16.038
29544,185,15.072
29594,185,14.191
29644,185,13.300
29694,185,12.409
29744,185,11.575
29794,185,10.750
29844,185,9.897
29894,185,9.100
29944,185,8.341
29994,185,7.619
30044,190,7.169
30094,190,7.225
30144,190,8.687
30194,190,13.084
30244,190,19.938
30294,190,19.366
30344,190,19.413
30394,190,20.200
30444,190,24.053
30494,190,23.022
30544,190,21.878
30594,190,20.959
30644,190,20.631
30694,190,20.406
30744,190,19.497
30794,190,18.616
30844,190,20.575
30894,190,23.153
30944,190,23.809
30994,190,22.459
31044,190,21.353
31094,190,20.800
31144,190,20.584
31194,190,20.116
31244,190,19.075
31294,190,20.950
31344,190,23.125
31394,190,23.838
31444,190,22.506
31494,190,21.391
31544,190,20.884
31594,190,20.828
31644,190,20.209
31694,190,19.450
31744,190,21.259
31794,190,23.631
31844,190,23.941
31894,190,22.666
31944,190,21.766
31994,190,21.466
32044,190,21.325
32094,190,20.528
32144,190,20.978
32194,190,21.250
32244,190,24.091
32294,190,23.997
32344,190,22.750
32394,190,21.991
32444,190,21.756
32494,190,21.475
32544,190,20.659
32594,190,21.475
32644,190,21.381
32694,190,24.719
32744,190,23.800
32794,190,22.619
32844,190,21.934
32894,190,21.794
32944,190,21.316
32994,190,20.491
33044,190,21.728
33094,190,22.741
33144,190,24.944
33194,190,23.519
33244,190,22.403
33294,190,21.869
33344,190,21.906
33394,190,21.288
33444,190,20.247
33494,190,21.934
33544,190,23.913
33594,190,24.531
33644,190,23.191
33694,190,22.197
33744,190,21.803
33794,190,21.719
33844,190,21.016
33894,190,21.259
33944,190,21.766
33994,190,24.034
34044,190,24.250
34094,190,22.984
34144,190,22.178
34194,190,21.972
34244,190,21.691
34294,190,20.913
34344,190,21.944
34394,190,21.925
34444,190,24.962
34494,190,23.772
34544,190,22.684
34594,190,22.103
34644,190,22.056
34694,190,21.512
34744,190,20.425
34794,190,22.216
34844,190,24.231
34894,190,24.784
34944,190,23.406
34994,190,22.384
35044,195,22.028
35094,195,22.066
35144,195,21.344
35194,195,22.609
35244,195,23.641
35294,195,25.759
35344,195,24.250
35394,195,23.134
35444,195,22.600
35494,195,22.572
35544,195,21.906
35594,195,21.991
35644,195,22.591
35694,195,24.766
35744,195,24.859
35794,195,23.612
35844,195,22.834
35894,195,22.750
35944,195,22.356
35994,195,21.372
36044,195,22.909
36094,195,24.691
36144,195,25.647
36194,195,24.241
36244,195,23.219
36294,195,22.891
36344,195,22.816
36394,195,22.122
36444,195,22.919
36494,195,22.309
36544,195,25.544
36594,195,24.709
36644,195,23.566
36694,195,22.872
36744,195,22.853
36794,195,22.319
36844,195,21.981
36894,195,23.031
36944,195,25.169
36994,195,25.150
37044,195,23.884
37094,195,22.975
37144,195,22.853
37194,195,22.609
37244,195,21.550
37294,195,23.003
37344,195,24.250
37394,195,25.713
37444,195,24.269
37494,195,23.144
37544,195,22.759
37594,195,22.675
37644,195,21.972
37694,195,22.263
37744,195,22.478
37794,195,24.822
37844,195,24.953
37894,195,23.697
37944,195,22.919
37994,195,22.816
38044,195,22.469
38094,195,21.400
38144,195,23.088
38194,195,24.888
38244,195,25.488
38294,195,24.081
38344,195,23.013
38394,195,22.731
38444,195,22.741
38494,195,21.962
38544,195,22.928
38594,195,22.272
38644,195,25.244
38694,195,24.391
38744,195,23.209
38794,195,22.684
38844,195,22.788
38894,195,22.206
38944,195,22.506
38994,195,22.825
39044,195,24.878
39094,195,24.944
39144,195,23.631
39194,195,22.684
39244,195,22.478
39294,195,22.291
39344,195,21.166
39394,195,22.788
39444,195,24.166
39494,195,25.375
39544,195,23.866
39594,195,22.778
39644,195,22.441
39694,195,22.441
39744,195,21.681
39794,195,22.497
39844,195,21.888
39894,195,24.794
39944,195,24.269
39994,195,23.059
40044,200,22.366
40094,200,22.459
40144,200,21.944
40194,200,22.534
40244,200,22.347
40294,200,25.366
40344,200,24.972
40394,200,23.763
40444,200,22.891
40494,200,22.909
40544,200,22.337
40594,200,21.662
40644,200,23.097
40694,200,25.309
40744,200,25.478
40794,200,24.137
40844,200,23.191
40894,200,23.078
40944,200,22.684
40994,200,21.559
41044,200,23.397
41094,200,25.497
41144,200,25.956
41194,200,24.522
41244,200,23.462
41294,200,23.275
41344,200,23.050
41394,200,22.056
41444,200,23.575
41494,200,25.338
41544,200,26.163
41594,200,24.634
41644,200,23.584
41694,200,23.359
41744,200,23.181
41794,200,22.263
41844,200,23.659
41894,200,25.169
41944,200,26.247
41994,200,24.775
42044,200,23.622
42094,200,23.275
42144,200,23.181
42194,200,22.188
42244,200,23.500
42294,200,24.738
42344,200,26.256
42394,200,24.719
42444,200,23.491
42494,200,23.125
42544,200,23.031
42594,200,22.122
42644,200,23.331
42694,200,24.400
42744,200,25.956
42794,200,24.409
42844,200,23.303
42894,200,22.956
42944,200,22.872
42994,200,21.991
43044,200,23.144
43094,200,24.053
43144,200,25.637
43194,200,24.109
43244,200,22.975
43294,200,22.534
43344,200,22.478
43394,200,21.616
43444,200,22.572
43494,200,23.219
43544,200,25.356
43594,200,23.931
43644,200,22.788
43694,200,22.375
43744,200,22.403
43794,200,21.606
43844,200,22.637
43894,200,22.694
43944,200,25.150
43994,200,23.884
44044,200,22.713
44094,200,22.253
44144,200,22.263
44194,200,21.541
44244,200,22.506
44294,200,22.150
44344,200,25.075
44394,200,23.875
44444,200,22.713
44494,200,22.244
44544,200,22.300
44594,200,21.578
44644,200,22.563
44694,200,22.253
44744,200,25.169
44794,200,23.997
44844,200,22.797
44894,200,22.300
44944,200,22.347
44994,200,21.672
45044,205,22.637
45094,205,22.281
45144,205,25.413
45194,205,24.166
45244,205,22.956
45294,205,22.347
45344,205,22.375
45394,205,21.634
45444,205,22.328
45494,205,22.272
45544,205,25.347
45594,205,24.334
45644,205,23.106
45694,205,22.469
45744,205,22.516
45794,205,21.878
45844,205,22.713
45894,205,22.506
45944,205,25.600
45994,205,24.484
46044,205,23.247
46094,205,22.703
46144,205,22.806
46194,205,22.103
46244,205,23.191
46294,205,23.238
46344,205,25.975
46394,205,24.634
46444,205,23.425
46494,205,22.966
46544,205,23.022
46594,205,22.291
46644,205,23.369
46694,205,24.025
46744,205,26.172
46794,205,24.634
46844,205,23.538
46894,205,23.144
46944,205,23.125
46994,205,22.216
47044,205,23.491
47094,205,24.597
47144,205,26.406
47194,205,24.906
47244,205,23.753
47294,205,23.397
47344,205,23.331
47394,205,22.319
47444,205,23.838
47494,205,25.666
47544,205,26.247
47594,205,24.738
47644,205,23.538
47694,205,23.359
47744,205,23.144
47794,205,22.000
47844,205,23.809
47894,205,25.844
47944,205,25.872
47994,205,24.569
48044,205,23.462
48094,205,23.416
48144,205,23.003
48194,205,22.441
48244,205,23.556
48294,205,25.703
48344,205,25.619
48394,205,24.278
48444,205,23.350
48494,205,23.434
48544,205,23.069
48594,205,23.547
48644,205,23.341
48694,205,25.459
48744,205,25.356
48794,205,24.081
48844,205,23.303
48894,205,23.397
48944,205,22.872
48994,205,23.734
49044,205,23.275
49094,205,26.153
49144,205,25.075
49194,205,23.866
49244,205,23.331
49294,205,23.397
49344,205,22.563
49394,205,23.809
49444,205,24.831
49494,205,26.275
49544,205,24.784
49594,205,23.594
49644,205,23.303
49694,205,23.200
49744,205,22.075
49794,205,23.744
49844,205,25.656
49894,205,25.909
49944,205,24.541
49994,205,23.425
50044,210,23.388
50094,210,23.162
50144,210,23.697
50194,210,23.622
50244,210,26.547
50294,210,25.900
50344,210,24.681
50394,210,23.959
50444,210,23.931
50494,210,23.209
50544,210,24.550
50594,210,26.238
50644,210,27.278
50694,210,25.966
50744,210,25.112
50794,210,24.888
50844,210,24.672
50894,210,24.053
50944,210,25.234
50994,210,27.175
51044,210,27.184
51094,210,25.891
51144,210,24.981
51194,210,25.047
51244,210,24.513
51294,210,25.591
51344,210,26.434
51394,210,28.328
51444,210,26.762
51494,210,25.600
51544,210,25.234
51594,210,25.122
51644,210,23.987
51694,210,25.713
51744,210,27.813
51794,210,27.747
51844,210,26.397
51894,210,25.300
51944,210,25.253
51994,210,24.850
52044,210,25.534
52094,210,25.600
52144,210,28.291
52194,210,27.091
52244,210,25.844
52294,210,25.319
52344,210,25.309
52394,210,24.287
52444,210,25.956
52494,210,27.972
52544,210,27.888
52594,210,26.472
52644,210,25.366
52694,210,25.356
52744,210,24.953
52794,210,25.637
52844,210,25.366
52894,210,28.159
52944,210,27.194
52994,210,25.984
53044,210,25.431
53094,210,25.431
53144,210,24.334
53194,210,25.956
53244,210,27.944
53294,210,27.981
53344,210,26.566
53394,210,25.488
53444,210,25.441
53494,210,25.028
53544,210,25.581
53594,210,25.094
53644,210,27.616
53694,210,27.034
53744,210,25.872
53794,210,25.150
53844,210,25.206
53894,210,24.306
53944,210,25.628
53994,210,26.866
54044,210,27.888
54094,210,26.256
54144,210,25.103
54194,210,24.972
54244,210,24.775
54294,210,24.513
54344,210,25.356
54394,210,27.409
54444,210,27.306
54494,210,26.059
54544,210,25.103
54594,210,25.169
54644,210,24.738
54694,210,25.675
54744,210,25.853
54794,210,28.141
54844,210,26.847
54894,210,25.581
54944,210,24.972
54994,210,25.038
55044,215,23.969
55094,215,25.750
55144,215,27.803
55194,215,27.953
55244,215,26.491
55294,215,25.478
55344,215,25.309
55394,215,24.925
55444,215,25.628
55494,215,26.284
55544,215,29.087
55594,215,27.644
55644,215,26.416
55694,215,25.825
55744,215,25.759
55794,215,24.578
55844,215,26.509
55894,215,28.712
55944,215,28.647
55994,215,27.147
56044,215,26.106
56094,215,25.966
56144,215,25.534
56194,215,26.575
56244,215,28.056
56294,215,29.294
56344,215,27.634
56394,215,26.463
56444,215,26.050
56494,215,25.872
56544,215,25.759
56594,215,26.331
56644,215,28.572
56694,215,28.356
56744,215,27.034
56794,215,26.341
56844,215,26.322
56894,215,25.506
56944,215,27.128
56994,215,29.172
57044,215,29.191
57094,215,27.709
57144,215,26.650
57194,215,26.547
57244,215,26.238
57294,215,27.241
57344,215,28.253
57394,215,30.062
57444,215,28.506
57494,215,27.250
57544,215,26.772
57594,215,26.641
57644,215,26.528
57694,215,27.100
57744,215,29.209
57794,215,29.078
57844,215,27.756
57894,215,26.884
57944,215,26.959
57994,215,26.031
58044,215,27.653
58094,215,29.763
58144,215,29.622
58194,215,28.131
58244,215,27.081
58294,215,26.959
58344,215,26.584
58394,215,27.513
58444,215,28.516
58494,215,30.278
58544,215,28.694
58594,215,27.484
58644,215,27.100
58694,215,26.922
58744,215,26.941
58794,215,27.231
58844,215,29.378
58894,215,29.172
58944,215,27.841
58994,215,27.062
59044,215,27.119
59094,215,26.069
59144,215,27.784
59194,215,29.884
59244,215,29.687
59294,215,28.244
59344,215,27.288
59394,215,27.231
59444,215,26.772
59494,215,27.944
59544,215,29.359
59594,215,30.212
59644,215,28.600
59694,215,27.372
59744,215,27.072
59794,215,26.856
59844,215,27.306
59894,215,27.091
59944,215,29.838
59994,215,28.975
60044,220,27.625
60094,220,27.091
60144,220,27.006
60194,220,25.863
60244,220,27.559
60294,220,29.584
60344,220,29.716
60394,220,28.356
60444,220,27.419
60494,220,27.334
60544,220,26.547
60594,220,28.047
60644,220,30.222
60694,220,30.250
60744,220,28.788
60794,220,27.644
60844,220,27.475
60894,220,27.034
60944,220,28.300
60994,220,30.306
61044,220,30.841
61094,220,29.228
61144,220,28.075
61194,220,27.831
61244,220,27.513
61294,220,28.544
61344,220,30.325
61394,220,31.216
61444,220,29.584
61494,220,28.300
61544,220,28.000
61594,220,27.775
61644,220,28.591
61694,220,29.753
61744,220,31.403
61794,220,29.744
61844,220,28.478
61894,220,28.047
61944,220,27.888
61994,220,28.572
62044,220,29.313
62094,220,31.394
62144,220,29.922
62194,220,28.619
62244,220,28.150
62294,220,27.991
62344,220,28.497
62394,220,29.406
62444,220,31.591
62494,220,30.100
62544,220,28.778
62594,220,28.300
62644,220,28.150
62694,220,28.656
62744,220,29.144
62794,220,31.525
62844,220,30.147
62894,220,28.891
62944,220,28.394
62994,220,28.225
63044,220,28.638
63094,220,29.050
63144,220,31.488
63194,220,30.194
63244,220,28.863
63294,220,28.384
63344,220,28.225
63394,220,28.609
